Quarterly Results,Stockname,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Interest,BALAMINES,,3,4,4,7,3,2,3,3,2,2,2,1,1
Depreciation,BALAMINES,,10,11,10,11,11,11,12,11,11,11,11,12,12
Profit before tax,BALAMINES,,131,119,145,183,205,162,115,85,90,48,70,93,62
Tax %,BALAMINES,,26%,26%,30%,29%,28%,27%,27%,35%,25%,24%,21%,22%,26%
Net Profit,BALAMINES,,97,88,102,131,148,119,84,55,68,36,56,72,46
EPS in Rs,BALAMINES,,27.89,24.61,27.64,33.55,37.95,28.57,19.31,14.63,16.27,10.71,15.24,21.00,13.36
Raw PDF,BALAMINES,,,,,,,,,,,,,,
Sales,BATAINDIA,,267,614,841,665,943,830,900,779,958,819,903,798,945
Expenses,BATAINDIA,,299,495,673,503,698,669,694,597,719,637,721,616,760
Operating Profit,BATAINDIA,,-32,119,169,162,245,161,206,182,240,182,182,182,185
OPM %,BATAINDIA,,-12%,19%,20%,24%,26%,19%,23%,23%,25%,22%,20%,23%,20%
Other Income,BATAINDIA,,12,12,14,19,9,12,8,10,13,-25,11,22,150
Interest,BATAINDIA,,23,22,23,25,25,27,29,27,28,28,29,31,31
Depreciation,BATAINDIA,,50,59,62,72,69,74,75,76,81,82,86,90,87
Profit before tax,BATAINDIA,,-92,50,97,85,160,72,110,88,144,46,78,83,217
Tax %,BATAINDIA,,-25%,26%,26%,26%,25%,24%,24%,26%,26%,26%,26%,23%,20%
Net Profit,BATAINDIA,,-69,37,72,63,119,55,83,66,107,34,58,64,174
EPS in Rs,BATAINDIA,,-5.41,2.89,5.63,4.90,9.29,4.27,6.47,5.11,8.32,2.64,4.51,4.95,13.54
Raw PDF,BATAINDIA,,,,,,,,,,,,,,
Sales,BEL,,1649,3678,3702,6340,3141,3962,4153,6479,3533,4009,4162,8564,4244
Expenses,BEL,,1579,2814,2872,4762,2618,3093,3290,4647,2860,2995,3090,6277,3295
Operating Profit,BEL,,70,864,829,1578,522,868,863,1832,673,1014,1072,2287,948
OPM %,BEL,,4%,23%,22%,25%,17%,22%,21%,28%,19%,25%,26%,27%,22%
Other Income,BEL,,45,62,60,64,82,74,59,66,140,137,167,225,204
Interest,BEL,,0,0,0,4,1,2,10,2,1,2,1,4,1
Depreciation,BEL,,97,99,98,106,99,109,106,114,109,108,107,119,108
Profit before tax,BEL,,18,826,791,1531,504,831,806,1782,703,1041,1132,2390,1043
Tax %,BEL,,27%,26%,26%,25%,29%,26%,25%,23%,25%,25%,25%,25%,25%
Net Profit,BEL,,24,625,596,1155,366,624,614,1382,539,790,860,1797,791
EPS in Rs,BEL,,0.03,0.85,0.82,1.58,0.50,0.85,0.84,1.89,0.74,1.08,1.18,2.46,1.08
Raw PDF,BEL,,,,,,,,,,,,,,
Sales,BERGEPAINT,,1798,2225,2551,2188,2760,2671,2694,2444,3030,2767,2882,2520,3091
Expenses,BERGEPAINT,,1561,1871,2159,1841,2355,2307,2344,2097,2473,2294,2402,2169,2569
Operating Profit,BERGEPAINT,,238,354,392,346,405,364,350,347,557,474,480,351,522
OPM %,BERGEPAINT,,13%,16%,15%,16%,15%,14%,13%,14%,18%,17%,17%,14%,17%
Other Income,BERGEPAINT,,17,13,15,24,17,16,13,15,17,19,20,48,46
Interest,BERGEPAINT,,10,13,14,15,16,24,30,29,20,21,20,18,15
Depreciation,BERGEPAINT,,55,56,56,60,63,62,64,74,78,83,83,87,87
Profit before tax,BERGEPAINT,,190,298,337,296,342,293,269,258,476,389,398,294,466
Tax %,BERGEPAINT,,26%,27%,25%,26%,26%,25%,25%,28%,25%,25%,25%,24%,24%
Net Profit,BERGEPAINT,,140,219,253,220,254,220,201,186,355,292,300,223,354
EPS in Rs,BERGEPAINT,,1.21,1.88,2.17,1.89,2.17,1.88,1.72,1.59,3.04,2.50,2.57,1.91,3.03
Raw PDF,BERGEPAINT,,,,,,,,,,,,,,
Sales,BHARTIARTL,,26854,28326,29867,31500,32805,34527,35804,36009,37440,37044,37900,37599,38506
Expenses,BHARTIARTL,,13873,14516,15164,15460,16275,16933,17720,17312,17842,17530,18085,18234,18799
Operating Profit,BHARTIARTL,,12980,13810,14703,16040,16529,17594,18085,18697,19598,19514,19815,19365,19708
OPM %,BHARTIARTL,,48%,49%,49%,51%,50%,51%,51%,52%,52%,53%,52%,52%,51%
Other Income,BHARTIARTL,,735,1430,853,1638,355,559,-412,886,-2478,-654,1013,-1308,2010
Interest,BHARTIARTL,,4226,3964,4367,4059,4511,4940,4686,5163,5614,5186,6645,5203,5152
Depreciation,BHARTIARTL,,7714,8247,8547,8583,8781,8947,9298,9406,9654,9734,10074,10075,10540
Profit before tax,BHARTIARTL,,1776,3029,2642,5037,3592,4265,3689,5014,1853,3940,4108,2778,6025
Tax %,BHARTIARTL,,47%,34%,38%,26%,31%,30%,29%,16%,18%,47%,30%,26%,22%
Net Profit,BHARTIARTL,,941,1998,1651,3715,2469,2979,2614,4226,1520,2093,2876,2068,4718
EPS in Rs,BHARTIARTL,,0.48,1.93,1.41,3.41,2.73,3.86,2.85,5.39,2.89,2.39,4.34,3.66,7.31
Raw PDF,BHARTIARTL,,,,,,,,,,,,,,
Sales,BOROLTD,,137.88,221.83,260.09,220.05,216.23,271.42,207.17,176.54,250.56,234.87,302.45,228.88,216.81
Expenses,BOROLTD,,120.24,174.65,221.18,180.17,188.83,233.18,198.30,165.31,224.49,197.65,245.75,209.80,187.85
Operating Profit,BOROLTD,,17.64,47.18,38.91,39.88,27.40,38.24,8.87,11.23,26.07,37.22,56.70,19.08,28.96
OPM %,BOROLTD,,12.79%,21.27%,14.96%,18.12%,12.67%,14.09%,4.28%,6.36%,10.40%,15.85%,18.75%,8.34%,13.36%
Other Income,BOROLTD,,1.78,3.81,8.02,-0.25,6.84,4.03,17.33,4.51,2.19,2.09,7.72,6.73,7.72
Interest,BOROLTD,,0.23,0.17,0.20,0.52,0.14,0.31,0.35,1.88,2.08,2.03,2.24,3.17,4.38
Depreciation,BOROLTD,,8.49,8.59,8.77,7.98,8.01,8.22,5.18,11.63,16.14,12.41,13.04,15.98,19.37
Profit before tax,BOROLTD,,10.70,42.23,37.96,31.13,26.09,33.74,20.67,2.23,10.04,24.87,49.14,6.66,12.93
Tax %,BOROLTD,,117.76%,35.38%,33.43%,-11.08%,25.60%,25.13%,22.98%,-41.26%,36.55%,25.49%,24.11%,23.72%,28.07%
Net Profit,BOROLTD,,-1.90,27.28,25.26,34.58,19.41,25.25,15.93,3.15,6.38,18.54,37.30,5.08,9.29
EPS in Rs,BOROLTD,,-0.21,2.35,2.17,3.02,1.69,2.20,1.39,0.28,0.63,1.62,3.25,0.44,0.78
Raw PDF,BOROLTD,,,,,,,,,,,,,,
Sales,BRITANNIA,,3403,3607,3575,3550,3701,4380,4197,4023,4011,4433,4256,4069,4250
Expenses,BRITANNIA,,2850,3049,3036,3001,3200,3668,3379,3222,3322,3562,3437,3286,3497
Operating Profit,BRITANNIA,,554,558,539,550,501,712,818,801,689,871,820,784,753
OPM %,BRITANNIA,,16%,15%,15%,15%,14%,16%,19%,20%,17%,20%,19%,19%,18%
Other Income,BRITANNIA,,61,54,54,54,56,53,428,60,57,52,48,57,31
Interest,BRITANNIA,,34,39,37,34,42,54,38,35,53,53,31,26,29
Depreciation,BRITANNIA,,49,50,50,51,51,52,58,65,71,72,78,80,74
Profit before tax,BRITANNIA,,531,523,505,519,463,659,1149,761,622,799,758,735,681
Tax %,BRITANNIA,,27%,27%,27%,27%,28%,26%,19%,27%,27%,27%,27%,27%,26%
Net Profit,BRITANNIA,,387,382,369,378,336,491,932,558,455,586,556,537,505
EPS in Rs,BRITANNIA,,16.17,15.95,15.41,15.77,14.01,20.48,38.71,23.19,19.00,24.39,23.10,22.35,20.99
Raw PDF,BRITANNIA,,,,,,,,,,,,,,
Sales,BSE,,180,219,213,228,193,234,239,259,260,362,426,545,671
Expenses,BSE,,116,136,135,144,137,184,165,132,146,173,280,392,324
Operating Profit,BSE,,64,84,78,85,56,50,74,127,114,189,146,152,347
OPM %,BSE,,36%,38%,37%,37%,29%,21%,31%,49%,44%,52%,34%,28%,52%
Other Income,BSE,,20,24,22,21,16,21,20,22,430,24,22,28,26
Interest,BSE,,4,5,5,8,8,7,6,6,7,9,0,0,0
Depreciation,BSE,,12,12,12,13,10,12,17,21,21,23,25,26,24
Profit before tax,BSE,,68,91,83,85,54,51,71,122,516,182,143,154,349
Tax %,BSE,,24%,31%,29%,16%,25%,42%,33%,27%,15%,35%,26%,31%,24%
Net Profit,BSE,,52,63,59,72,40,29,48,89,440,118,106,107,264
EPS in Rs,BSE,,3.95,4.82,4.53,5.51,3.25,2.50,3.81,6.73,32.68,8.90,7.99,7.91,19.58
Raw PDF,BSE,,,,,,,,,,,,,,
Sales,CAMS,,201,228,238,243,237,242,244,249,261,275,290,310,331
Expenses,CAMS,,108,122,124,131,139,136,135,140,151,153,160,167,182
Operating Profit,CAMS,,93,106,113,112,98,106,108,109,110,122,129,143,150
OPM %,CAMS,,46%,46%,48%,46%,41%,44%,44%,44%,42%,44%,45%,46%,45%
Other Income,CAMS,,5,4,4,4,4,7,7,8,10,10,10,11,12
Interest,CAMS,,2,2,2,2,2,2,2,2,2,2,2,2,2
Depreciation,CAMS,,11,12,13,16,14,15,16,16,16,17,18,18,17
Profit before tax,CAMS,,85,96,102,99,87,97,98,99,101,112,119,135,142
Tax %,CAMS,,26%,25%,24%,25%,26%,26%,25%,25%,25%,25%,25%,23%,25%
Net Profit,CAMS,,63,73,77,74,65,72,74,74,76,84,89,103,107
EPS in Rs,CAMS,,12.95,14.86,15.81,15.10,13.24,14.72,15.05,15.23,15.58,17.20,18.17,21.06,22.00
Raw PDF,CAMS,,,,,,,,,,,,,,
Sales,CAMPUS,275,135,,434,352,338,,,,,,,,
Expenses,CAMPUS,210,120,,341,274,276,,,,,,,,
Operating Profit,CAMPUS,65,15,,93,78,62,,,,,,,,
OPM %,CAMPUS,24%,11%,,21%,22%,18%,,,,,,,,
Other Income,CAMPUS,0,1,,0,0,1,,,,,,,,
Interest,CAMPUS,4,4,,5,6,6,,,,,,,,
Depreciation,CAMPUS,11,11,,14,15,15,,,,,,,,
Profit before tax,CAMPUS,50,1,,75,57,42,,,,,,,,
Tax %,CAMPUS,80%,-151%,,27%,31%,32%,,,,,,,,
Net Profit,CAMPUS,10,2,,55,40,29,,,,,,,,
EPS in Rs,CAMPUS,0.66,0.13,,1.80,1.30,0.94,,,,,,,,
Raw PDF,CAMPUS,,,,,,,,,,,,,,
Sales,CDSL,,117,146,152,137,140,149,141,125,150,207,214,241,257
Expenses,CDSL,,44,47,49,46,66,58,57,56,70,79,84,93,103
Operating Profit,CDSL,,74,99,103,90,75,91,85,68,80,128,130,148,154
OPM %,CDSL,,63%,68%,68%,66%,53%,61%,60%,55%,53%,62%,61%,61%,60%
Other Income,CDSL,,13,19,11,11,6,21,20,19,24,23,21,29,30
Interest,CDSL,,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,CDSL,,2,3,3,4,4,5,5,5,6,6,7,8,10
Profit before tax,CDSL,,85,115,111,98,77,107,99,82,98,145,145,168,175
Tax %,CDSL,,24%,25%,25%,20%,25%,25%,25%,23%,25%,25%,26%,23%,23%
Net Profit,CDSL,,64,86,84,78,58,80,75,63,74,109,107,129,134
EPS in Rs,CDSL,,6.11,8.22,8.01,7.43,5.53,7.69,7.14,6.04,7.04,10.42,10.28,12.37,12.84
Raw PDF,CDSL,,,,,,,,,,,,,,
Sales,CENTUM,,174.37,172.42,200.03,233.11,208.48,201.10,197.12,316.28,247.52,248.22,298.19,296.90,245.86
Expenses,CENTUM,,164.82,160.34,181.28,221.34,197.03,192.85,190.79,266.10,226.39,231.07,269.30,278.76,230.33
Operating Profit,CENTUM,,9.55,12.08,18.75,11.77,11.45,8.25,6.33,50.18,21.13,17.15,28.89,18.14,15.53
OPM %,CENTUM,,5.48%,7.01%,9.37%,5.05%,5.49%,4.10%,3.21%,15.87%,8.54%,6.91%,9.69%,6.11%,6.32%
Other Income,CENTUM,,-42.90,2.89,2.57,2.62,2.58,0.62,1.23,2.67,1.57,0.95,1.07,-1.11,1.28
Interest,CENTUM,,7.32,6.04,5.58,7.40,5.98,6.55,6.74,8.07,8.09,9.09,7.72,9.74,7.58
Depreciation,CENTUM,,11.13,11.18,11.59,9.30,11.04,10.79,11.02,10.97,10.61,11.13,11.52,12.02,12.26
Profit before tax,CENTUM,,-51.80,-2.25,4.15,-2.31,-2.99,-8.47,-10.20,33.81,4.00,-2.12,10.72,-4.73,-3.03
Tax %,CENTUM,,-6.35%,-6.22%,15.42%,176.19%,-14.05%,-19.13%,-5.20%,23.69%,64.00%,115.09%,32.37%,45.67%,27.06%
Net Profit,CENTUM,,-48.51,-2.11,3.52,-6.37,-2.57,-6.86,-9.67,25.79,1.45,-4.56,7.25,-6.90,-3.84
EPS in Rs,CENTUM,,-26.90,-0.50,2.73,-4.94,-1.99,-5.32,-7.50,20.02,1.13,-3.54,5.63,-5.35,-2.98
Raw PDF,CENTUM,,,,,,,,,,,,,,
Sales,CGPOWER,,1050,1454,1551,1485,1643,1696,1752,1903,1874,2002,1979,2192,2228
Expenses,CGPOWER,,945,1283,1343,1319,1456,1437,1475,1627,1609,1693,1718,1908,1900
Operating Profit,CGPOWER,,105,171,208,166,186,260,277,275,265,309,261,284,327
OPM %,CGPOWER,,10%,12%,13%,11%,11%,15%,16%,14%,14%,15%,13%,13%,15%
Other Income,CGPOWER,,11,107,423,12,16,11,60,199,29,43,579,42,33
Interest,CGPOWER,,17,17,17,17,5,5,4,2,1,0,1,1,1
Depreciation,CGPOWER,,28,25,25,23,24,25,23,25,24,23,24,24,24
Profit before tax,CGPOWER,,71,236,589,139,173,241,310,447,270,329,816,301,336
Tax %,CGPOWER,,23%,15%,8%,20%,25%,26%,26%,5%,24%,26%,8%,22%,28%
Net Profit,CGPOWER,,55,202,545,112,130,179,228,426,204,242,748,234,241
EPS in Rs,CGPOWER,,0.40,1.49,4.03,0.77,0.85,1.17,1.49,2.79,1.33,1.59,4.89,1.53,1.58
Raw PDF,CGPOWER,,,,,,,,,,,,,,
Sales,COCHINSHIP,,329,696,953,1212,441,683,642,600,476,1012,1056,1286,771
Expenses,COCHINSHIP,,308,532,812,916,409,548,493,667,397,821,746,998,594
Operating Profit,COCHINSHIP,,21,164,141,296,32,135,148,-67,79,191,310,288,177
OPM %,COCHINSHIP,,6%,24%,15%,24%,7%,20%,23%,-11%,17%,19%,29%,22%,23%
Other Income,COCHINSHIP,,48,42,63,107,56,62,23,133,84,89,58,80,84
Interest,COCHINSHIP,,12,12,12,12,12,12,12,-1,9,10,8,7,7
Depreciation,COCHINSHIP,,17,17,18,18,19,20,19,11,17,19,20,19,19
Profit before tax,COCHINSHIP,,40,177,175,374,56,165,140,57,137,251,340,342,236
Tax %,COCHINSHIP,,28%,26%,26%,27%,25%,32%,21%,30%,28%,28%,28%,24%,26%
Net Profit,COCHINSHIP,,29,131,129,275,42,113,110,39,99,182,244,259,174
EPS in Rs,COCHINSHIP,,1.09,4.99,4.92,10.44,1.60,4.29,4.20,1.50,3.75,6.90,9.29,9.84,6.62
Raw PDF,COCHINSHIP,,,,,,,,,,,,,,
Sales,COFORGE,,1462,1569,1658,1743,1829,1959,2056,2170,2221,2276,2323,2358,2401
Expenses,COFORGE,,1250,1295,1355,1430,1541,1622,1696,1874,1915,1935,1928,1973,2108
Operating Profit,COFORGE,,211,275,303,312,289,337,360,296,306,341,395,386,293
OPM %,COFORGE,,14%,18%,18%,18%,16%,17%,17%,14%,14%,15%,17%,16%,12%
Other Income,COFORGE,,16,8,5,23,14,14,32,-50,16,9,15,22,25
Interest,COFORGE,,12,16,18,18,18,21,22,20,22,32,35,37,32
Depreciation,COFORGE,,52,60,57,58,63,61,62,72,76,77,81,85,82
Profit before tax,COFORGE,,163,206,233,259,221,268,307,155,224,241,294,286,205
Tax %,COFORGE,,20%,22%,15%,13%,22%,18%,23%,25%,22%,22%,18%,20%,32%
Net Profit,COFORGE,,131,162,197,225,172,221,236,117,176,188,243,229,139
EPS in Rs,COFORGE,,20.40,24.20,30.17,34.10,24.58,32.99,37.37,18.79,27.06,29.41,38.54,36.19,19.97
Raw PDF,COFORGE,,,,,,,,,,,,,,
Sales,CONCOR,,1820,1837,1938,2058,1994,1986,2004,2184,1923,2195,2211,2325,2103
Expenses,CONCOR,,1382,1405,1477,1640,1515,1481,1572,1733,1527,1648,1693,1827,1662
Operating Profit,CONCOR,,438,432,461,417,479,506,432,451,396,546,517,498,442
OPM %,CONCOR,,24%,24%,24%,20%,24%,25%,22%,21%,21%,25%,23%,21%,21%
Other Income,CONCOR,,57,63,56,69,69,45,104,94,81,105,92,93,94
Interest,CONCOR,,16,16,15,16,15,16,16,17,16,17,19,20,19
Depreciation,CONCOR,,138,144,140,139,137,139,140,158,142,153,159,165,169
Profit before tax,CONCOR,,341,335,362,332,394,396,381,371,319,482,431,406,347
Tax %,CONCOR,,26%,26%,24%,24%,25%,25%,24%,26%,24%,25%,24%,26%,25%
Net Profit,CONCOR,,258,253,283,258,297,304,293,279,245,368,331,318,259
EPS in Rs,CONCOR,,4.25,4.16,4.67,4.25,4.88,4.98,4.83,4.58,4.03,6.03,5.43,5.20,4.24
Raw PDF,CONCOR,,,,,,,,,,,,,,
Sales,CYIENT,,1058,1112,1183,1181,1250,1396,1618,1751,1686,1778,1821,1861,1676
Expenses,CYIENT,,872,904,972,969,1057,1192,1335,1429,1371,1453,1495,1526,1411
Operating Profit,CYIENT,,186,207,212,212,193,205,283,322,316,326,326,335,265
OPM %,CYIENT,,18%,19%,18%,18%,15%,15%,18%,18%,19%,18%,18%,18%,16%
Other Income,CYIENT,,26,15,22,49,34,-2,19,-16,-1,7,-32,23,21
Interest,CYIENT,,10,9,10,10,16,31,26,26,28,27,29,32,26
Depreciation,CYIENT,,49,52,49,43,51,63,70,73,68,66,66,67,66
Profit before tax,CYIENT,,154,162,175,208,160,108,206,208,219,240,200,259,195
Tax %,CYIENT,,25%,25%,25%,26%,27%,27%,24%,21%,23%,24%,23%,24%,24%
Net Profit,CYIENT,,115,121,132,154,116,79,156,163,169,184,153,197,148
EPS in Rs,CYIENT,,10.44,11.01,11.95,13.98,10.52,7.16,14.12,14.76,15.20,16.10,13.28,17.06,12.97
Raw PDF,CYIENT,,,,,,,,,,,,,,
Sales,DABUR,,2612,2818,2942,2518,2822,2986,3043,2678,3130,3204,3255,2815,3349
Expenses,DABUR,,2060,2197,2314,2065,2279,2386,2434,2268,2526,2543,2588,2348,2694
Operating Profit,DABUR,,552,620,627,452,543,600,609,410,605,661,667,466,655
OPM %,DABUR,,21%,22%,21%,18%,19%,20%,20%,15%,19%,21%,20%,17%,20%
Other Income,DABUR,,85,112,97,14,101,123,101,121,110,117,127,129,129
Interest,DABUR,,8,8,11,12,12,15,19,32,24,28,36,35,33
Depreciation,DABUR,,61,63,63,65,68,70,71,102,97,98,97,107,109
Profit before tax,DABUR,,568,661,650,390,564,638,620,396,593,651,661,453,642
Tax %,DABUR,,23%,24%,22%,24%,22%,23%,23%,26%,23%,22%,23%,25%,23%
Net Profit,DABUR,,438,505,504,294,441,491,477,293,457,507,506,341,494
EPS in Rs,DABUR,,2.47,2.85,2.85,1.66,2.49,2.77,2.69,1.70,2.62,2.91,2.90,1.97,2.82
Raw PDF,DABUR,,,,,,,,,,,,,,
Sales,DEEPAKNTR,,1526,1681,1722,1872,2058,1962,1991,1961,1768,1778,2009,2126,2167
Expenses,DEEPAKNTR,,1075,1295,1370,1462,1702,1691,1676,1613,1559,1476,1705,1825,1858
Operating Profit,DEEPAKNTR,,452,387,352,410,356,271,315,348,210,302,305,301,309
OPM %,DEEPAKNTR,,30%,23%,20%,22%,17%,14%,16%,18%,12%,17%,15%,14%,14%
Other Income,DEEPAKNTR,,8,8,26,4,10,12,13,13,32,17,14,99,19
Interest,DEEPAKNTR,,11,9,7,7,9,6,6,4,2,3,3,4,6
Depreciation,DEEPAKNTR,,44,44,45,45,42,42,41,41,38,39,42,46,47
Profit before tax,DEEPAKNTR,,405,342,325,362,315,235,281,315,202,277,274,349,275
Tax %,DEEPAKNTR,,25%,26%,25%,26%,26%,26%,26%,26%,26%,26%,26%,27%,26%
Net Profit,DEEPAKNTR,,303,254,242,267,235,174,209,234,150,205,202,254,203
EPS in Rs,DEEPAKNTR,,22.19,18.65,17.78,19.59,17.20,12.79,15.33,17.15,10.99,15.04,14.81,18.61,14.85
Raw PDF,DEEPAKNTR,,,,,,,,,,,,,,
Sales,DIVISLAB,,1961,1988,2493,2518,2255,1855,1708,1951,1778,1909,1855,2303,2118
Expenses,DIVISLAB,,1109,1169,1396,1414,1406,1234,1299,1464,1274,1430,1366,1572,1496
Operating Profit,DIVISLAB,,852,818,1097,1104,849,621,409,487,504,479,489,731,622
OPM %,DIVISLAB,,43%,41%,44%,44%,38%,33%,24%,25%,28%,25%,26%,32%,29%
Other Income,DIVISLAB,,36,19,17,52,88,80,113,66,81,86,95,79,79
Interest,DIVISLAB,,0,0,0,0,0,0,0,0,0,1,0,2,0
Depreciation,DIVISLAB,,73,77,80,81,85,86,87,87,93,95,95,95,97
Profit before tax,DIVISLAB,,814,760,1034,1076,852,615,435,466,492,469,489,713,604
Tax %,DIVISLAB,,32%,20%,13%,17%,18%,20%,30%,31%,28%,26%,27%,25%,29%
Net Profit,DIVISLAB,,557,606,902,895,702,493,306,321,356,348,358,538,430
EPS in Rs,DIVISLAB,,20.99,22.84,33.99,33.70,26.44,18.57,11.53,12.09,13.41,13.11,13.49,20.27,16.20
Raw PDF,DIVISLAB,,,,,,,,,,,,,,
Sales,DIXON,,1867,2804,3073,2953,2855,3867,2405,3065,3272,4943,4818,4658,6580
Expenses,DIXON,,1819,2694,2970,2835,2755,3722,2294,2909,3140,4744,4634,4476,6332
Operating Profit,DIXON,,48,110,103,118,100,145,111,156,132,199,184,182,248
OPM %,DIXON,,3%,4%,3%,4%,4%,4%,5%,5%,4%,4%,4%,4%,4%
Other Income,DIXON,,0,1,1,2,0,1,4,3,6,3,4,19,16
Interest,DIXON,,9,9,12,14,14,16,15,15,14,17,22,21,29
Depreciation,DIXON,,15,22,28,19,24,29,29,32,34,36,41,51,55
Profit before tax,DIXON,,24,80,63,87,62,100,70,112,90,149,126,130,180
Tax %,DIXON,,25%,22%,27%,27%,27%,23%,26%,28%,25%,24%,23%,25%,22%
Net Profit,DIXON,,18,63,46,63,45,77,52,81,67,113,97,97,140
EPS in Rs,DIXON,,3.10,10.68,7.82,10.61,7.70,13.02,8.72,13.54,11.55,18.02,16.12,15.91,22.34
Raw PDF,DIXON,,,,,,,,,,,,,,
Sales,DMART,,5183,7789,9218,8786,10038,10638,11569,10594,11865,12624,13572,12727,14069
Expenses,DMART,,4959,7120,8351,8047,9030,9746,10604,9823,10830,11619,12453,11783,12848
Operating Profit,DMART,,224,669,866,739,1008,892,965,772,1035,1005,1120,944,1221
OPM %,DMART,,4%,9%,9%,8%,10%,8%,8%,7%,9%,8%,8%,7%,9%
Other Income,DMART,,31,28,26,33,29,36,32,33,39,37,33,38,42
Interest,DMART,,11,12,14,17,17,18,17,16,15,16,15,13,16
Depreciation,DMART,,107,116,128,146,145,162,168,164,162,174,189,205,193
Profit before tax,DMART,,137,568,750,609,875,748,812,625,897,852,949,763,1054
Tax %,DMART,,31%,26%,26%,30%,27%,8%,27%,26%,27%,27%,27%,26%,27%
Net Profit,DMART,,95,418,553,427,643,686,590,460,659,623,690,563,774
EPS in Rs,DMART,,1.47,6.45,8.53,6.59,9.93,10.59,9.10,7.10,10.12,9.58,10.61,8.66,11.89
Raw PDF,DMART,,,,,,,,,,,,,,
Sales,DRREDDY,,4945,5787,5338,5475,5233,6332,6790,6315,6758,6903,7237,7114,7696
Expenses,DRREDDY,,4211,4427,4123,5024,4292,4433,4851,4781,4696,4894,5214,5283,5566
Operating Profit,DRREDDY,,734,1360,1216,451,941,1899,1939,1534,2062,2008,2023,1831,2130
OPM %,DRREDDY,,15%,24%,23%,8%,18%,30%,29%,24%,31%,29%,28%,26%,28%
Other Income,DRREDDY,,124,230,74,132,863,55,65,146,178,319,219,201,193
Interest,DRREDDY,,19,23,22,32,35,31,42,35,37,35,39,59,60
Depreciation,DRREDDY,,284,294,294,293,302,309,324,316,353,376,374,368,381
Profit before tax,DRREDDY,,556,1272,974,259,1468,1614,1638,1329,1850,1917,1829,1605,1883
Tax %,DRREDDY,,32%,22%,27%,63%,19%,31%,24%,28%,24%,23%,24%,18%,26%
Net Profit,DRREDDY,,380,996,709,97,1189,1114,1244,960,1405,1482,1381,1310,1392
EPS in Rs,DRREDDY,,22.87,59.84,42.62,5.83,71.44,66.93,74.70,57.65,84.36,88.87,82.78,78.52,83.46
Raw PDF,DRREDDY,,,,,,,,,,,,,,
Sales,EICHERMOT,,1974,2250,2881,3193,3397,3519,3721,3804,3986,4115,4179,4256,4393
Expenses,EICHERMOT,,1651,1780,2298,2436,2566,2698,2864,2871,2966,3027,3089,3127,3228
Operating Profit,EICHERMOT,,324,470,582,757,831,822,857,934,1021,1087,1090,1129,1165
OPM %,EICHERMOT,,16%,21%,20%,24%,24%,23%,23%,25%,26%,26%,26%,27%,27%
Other Income,EICHERMOT,,122,118,128,172,82,193,256,379,344,375,368,437,457
Interest,EICHERMOT,,6,3,6,3,5,7,8,8,10,13,12,15,12
Depreciation,EICHERMOT,,112,109,111,119,116,127,135,148,142,143,148,165,169
Profit before tax,EICHERMOT,,328,476,593,806,792,880,971,1156,1212,1307,1298,1385,1441
Tax %,EICHERMOT,,28%,22%,23%,24%,23%,25%,24%,22%,24%,22%,23%,23%,24%
Net Profit,EICHERMOT,,237,373,456,610,611,657,741,906,918,1016,996,1070,1101
EPS in Rs,EICHERMOT,,8.67,13.65,16.68,22.31,22.33,24.02,27.09,33.11,33.58,37.12,36.38,39.10,40.20
Raw PDF,EICHERMOT,,,,,,,,,,,,,,
Sales,ETHOSLTD,,89,134,195,159,174,178,230,208,230,235,281,253,273
Expenses,ETHOSLTD,,82,122,169,138,147,152,194,182,196,198,237,217,230
Operating Profit,ETHOSLTD,,7,13,26,21,27,26,36,26,34,37,45,36,43
OPM %,ETHOSLTD,,7%,10%,13%,13%,16%,15%,16%,12%,15%,16%,16%,14%,16%
Other Income,ETHOSLTD,,5,3,3,2,2,4,4,5,5,4,6,9,6
Interest,ETHOSLTD,,4,4,4,5,4,3,3,3,4,4,4,4,5
Depreciation,ETHOSLTD,,7,8,9,8,8,8,9,9,11,13,13,13,14
Profit before tax,ETHOSLTD,,1,4,16,10,17,18,28,18,24,25,34,28,31
Tax %,ETHOSLTD,,24%,25%,26%,25%,25%,25%,25%,25%,25%,25%,26%,24%,26%
Net Profit,ETHOSLTD,,1,3,12,8,13,14,21,13,18,19,26,21,23
EPS in Rs,ETHOSLTD,,0.46,1.45,6.42,4.11,5.48,5.81,8.85,5.69,7.78,7.96,10.42,8.59,9.31
Raw PDF,ETHOSLTD,,,,,,,,,,,,,,
Sales,EXIDEIND,,2566,3389,3312,3523,4022,3841,3538,3677,4245,4372,3980,4173,4436
Expenses,EXIDEIND,,2393,2966,2932,3191,3634,3410,3140,3305,3807,3872,3548,3725,3963
Operating Profit,EXIDEIND,,173,423,379,332,387,431,398,372,438,499,432,448,473
OPM %,EXIDEIND,,7%,12%,11%,9%,10%,11%,11%,10%,10%,11%,11%,11%,11%
Other Income,EXIDEIND,,16,-27,-4,3832,30,36,24,36,23,38,25,5,16
Interest,EXIDEIND,,13,11,15,21,16,18,19,21,24,30,32,31,30
