Profit and Loss,Stockname,TTM,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Other Income,CONCOR,383,,,,,,,333,,,358,,,,354,,,,347,,,309,,,343,,,364,,,-560,,,223,,,270,,,333,,,370
Interest,CONCOR,74,,,,,,,3,,,22,,,,18,,,,0,,,6,,,6,,,7,,,46,,,43,,,63,,,65,,,71
Depreciation,CONCOR,646,,,,,,,176,,,236,,,,411,,,,355,,,367,,,420,,,452,,,544,,,553,,,561,,,573,,,619
Profit before tax,CONCOR,1667,,,,,,,1203,,,1253,,,,1320,,,,1335,,,1184,,,1409,,,1697,,,544,,,674,,,1396,,,1563,,,1638
Tax %,CONCOR,,,,,,,,23%,,,25%,,,,20%,,,,28%,,,28%,,,25%,,,28%,,,25%,,,26%,,,25%,,,25%,,,25%
Net Profit,CONCOR,1276,,,,,,,931,,,946,,,,1056,,,,967,,,854,,,1060,,,1222,,,406,,,501,,,1054,,,1173,,,1262
EPS in Rs,CONCOR,20.90,,,,,,,15.27,,,15.50,,,,17.31,,,,15.85,,,14.07,,,17.55,,,20.18,,,6.62,,,8.29,,,17.34,,,19.27,,,20.69
Dividend Payout %,CONCOR,,,,,,,,24%,,,25%,,,,25%,,,,27%,,,39%,,,39%,,,42%,,,54%,,,60%,,,52%,,,57%,,,12%
Sales,CYIENT,7136,,,,,,,1873,,,2206,,,,2736,,,,3094,,,3586,,,3914,,,4618,,,4427,,,4132,,,4534,,,6016,,,7147
Expenses,CYIENT,5884,,,,,,,1531,,,1796,,,,2335,,,,2680,,,3109,,,3394,,,3985,,,3881,,,3557,,,3717,,,5013,,,5844
Operating Profit,CYIENT,1252,,,,,,,342,,,410,,,,401,,,,414,,,477,,,520,,,633,,,546,,,575,,,818,,,1003,,,1303
OPM %,CYIENT,18%,,,,,,,18%,,,19%,,,,15%,,,,13%,,,13%,,,13%,,,14%,,,12%,,,14%,,,18%,,,17%,,,18%
Other Income,CYIENT,20,,,,,,,36,,,17,,,,122,,,,112,,,79,,,147,,,131,,,158,,,140,,,112,,,35,,,-2
Interest,CYIENT,114,,,,,,,0,,,1,,,,6,,,,16,,,17,,,20,,,33,,,49,,,43,,,39,,,100,,,116
Depreciation,CYIENT,265,,,,,,,64,,,72,,,,71,,,,89,,,95,,,105,,,111,,,188,,,194,,,192,,,257,,,267
Profit before tax,CYIENT,894,,,,,,,315,,,354,,,,446,,,,421,,,444,,,541,,,620,,,468,,,477,,,698,,,681,,,918
Tax %,CYIENT,,,,,,,,31%,,,29%,,,,25%,,,,24%,,,24%,,,26%,,,23%,,,27%,,,24%,,,25%,,,24%,,,23%
Net Profit,CYIENT,681,,,,,,,231,,,266,,,,351,,,,320,,,340,,,403,,,477,,,341,,,364,,,522,,,514,,,703
EPS in Rs,CYIENT,59.41,,,,,,,20.70,,,23.76,,,,31.43,,,,28.94,,,30.54,,,36.00,,,42.33,,,31.14,,,33.06,,,47.35,,,46.52,,,61.57
Dividend Payout %,CYIENT,,,,,,,,22%,,,21%,,,,25%,,,,24%,,,34%,,,36%,,,35%,,,48%,,,51%,,,51%,,,56%,,,49%
Sales,DABUR,12623,,,,,,,6140,,,7058,,,,7795,,,,7780,,,7614,,,7722,,,8515,,,8685,,,9562,,,10889,,,11530,,,12404
Expenses,DABUR,10173,,,,,,,5148,,,5897,,,,6475,,,,6261,,,6102,,,6104,,,6775,,,6892,,,7560,,,8637,,,9367,,,10004
Operating Profit,DABUR,2450,,,,,,,992,,,1162,,,,1320,,,,1518,,,1512,,,1617,,,1740,,,1792,,,2002,,,2252,,,2162,,,2400
OPM %,DABUR,19%,,,,,,,16%,,,16%,,,,17%,,,,20%,,,20%,,,21%,,,20%,,,21%,,,21%,,,21%,,,19%,,,19%
Other Income,DABUR,503,,,,,,,100,,,126,,,,154,,,,217,,,296,,,291,,,222,,,205,,,325,,,308,,,445,,,482
Interest,DABUR,133,,,,,,,59,,,54,,,,40,,,,48,,,54,,,53,,,60,,,50,,,31,,,39,,,78,,,124
Depreciation,DABUR,412,,,,,,,85,,,97,,,,115,,,,133,,,143,,,162,,,177,,,220,,,240,,,253,,,311,,,399
Profit before tax,DABUR,2408,,,,,,,948,,,1136,,,,1319,,,,1554,,,1611,,,1693,,,1725,,,1728,,,2056,,,2269,,,2219,,,2359
Tax %,DABUR,,,,,,,,19%,,,19%,,,,19%,,,,19%,,,21%,,,20%,,,16%,,,16%,,,18%,,,23%,,,23%,,,23%
Net Profit,DABUR,1849,,,,,,,766,,,916,,,,1068,,,,1254,,,1280,,,1358,,,1446,,,1448,,,1695,,,1742,,,1701,,,1811
EPS in Rs,DABUR,10.60,,,,,,,4.38,,,5.24,,,,6.07,,,,7.11,,,7.25,,,7.69,,,8.17,,,8.18,,,9.58,,,9.84,,,9.64,,,10.40
Dividend Payout %,DABUR,,,,,,,,34%,,,33%,,,,33%,,,,32%,,,31%,,,81%,,,34%,,,37%,,,50%,,,53%,,,54%,,,53%
Sales,DEEPAKNTR,8080,,,,,,,,,,,,,,1327,,,,1373,,,1371,,,1651,,,2700,,,4230,,,4360,,,6802,,,7972,,,7682
Expenses,DEEPAKNTR,6863,,,,,,,,,,,,,,1187,,,,1204,,,1231,,,1447,,,2278,,,3194,,,3108,,,5196,,,6680,,,6555
Operating Profit,DEEPAKNTR,1217,,,,,,,,,,,,,,140,,,,169,,,139,,,204,,,421,,,1035,,,1252,,,1607,,,1292,,,1127
OPM %,DEEPAKNTR,15%,,,,,,,,,,,,,,11%,,,,12%,,,10%,,,12%,,,16%,,,24%,,,29%,,,24%,,,16%,,,15%
Other Income,DEEPAKNTR,148,,,,,,,,,,,,,,1,,,,-0,,,80,,,7,,,11,,,29,,,20,,,42,,,46,,,156
Interest,DEEPAKNTR,16,,,,,,,,,,,,,,38,,,,40,,,37,,,47,,,87,,,118,,,77,,,36,,,27,,,15
Depreciation,DEEPAKNTR,175,,,,,,,,,,,,,,36,,,,40,,,48,,,53,,,78,,,140,,,153,,,178,,,166,,,166
Profit before tax,DEEPAKNTR,1175,,,,,,,,,,,,,,67,,,,89,,,135,,,111,,,268,,,806,,,1042,,,1434,,,1146,,,1102
Tax %,DEEPAKNTR,,,,,,,,,,,,,,,21%,,,,29%,,,28%,,,29%,,,35%,,,24%,,,26%,,,26%,,,26%,,,26%
Net Profit,DEEPAKNTR,864,,,,,,,,,,,,,,53,,,,63,,,96,,,79,,,174,,,611,,,776,,,1067,,,852,,,811
EPS in Rs,DEEPAKNTR,63.31,,,,,,,,,,,,,,5.06,,,,5.39,,,7.37,,,5.79,,,12.73,,,44.80,,,56.88,,,78.20,,,62.47,,,59.45
Dividend Payout %,DEEPAKNTR,,,,,,,,,,,,,,,20%,,,,22%,,,16%,,,22%,,,16%,,,10%,,,10%,,,9%,,,12%,,,13%
Sales,DIVISLAB,8185,,,,,,,2145,,,2532,,,,3115,,,,3776,,,4064,,,3891,,,4946,,,5394,,,6969,,,8960,,,7767,,,7845
Expenses,DIVISLAB,5864,,,,,,,1329,,,1514,,,,1942,,,,2354,,,2615,,,2622,,,3072,,,3568,,,4102,,,5075,,,5397,,,5635
Operating Profit,DIVISLAB,2321,,,,,,,816,,,1018,,,,1173,,,,1423,,,1450,,,1269,,,1874,,,1826,,,2867,,,3885,,,2370,,,2210
OPM %,DIVISLAB,28%,,,,,,,38%,,,40%,,,,38%,,,,38%,,,36%,,,33%,,,38%,,,34%,,,41%,,,43%,,,31%,,,28%
Other Income,DIVISLAB,339,,,,,,,45,,,68,,,,38,,,,93,,,72,,,107,,,154,,,186,,,57,,,112,,,344,,,335
Interest,DIVISLAB,3,,,,,,,3,,,3,,,,3,,,,5,,,3,,,2,,,5,,,7,,,2,,,2,,,2,,,4
Depreciation,DIVISLAB,382,,,,,,,77,,,92,,,,136,,,,118,,,123,,,142,,,169,,,186,,,256,,,312,,,343,,,378
Profit before tax,DIVISLAB,2275,,,,,,,781,,,991,,,,1072,,,,1393,,,1395,,,1231,,,1855,,,1819,,,2666,,,3684,,,2369,,,2163
Tax %,DIVISLAB,,,,,,,,23%,,,22%,,,,21%,,,,19%,,,24%,,,29%,,,27%,,,24%,,,26%,,,20%,,,23%,,,26%
Net Profit,DIVISLAB,1674,,,,,,,602,,,773,,,,852,,,,1126,,,1060,,,877,,,1353,,,1377,,,1984,,,2960,,,1824,,,1600
EPS in Rs,DIVISLAB,63.07,,,,,,,22.67,,,29.13,,,,32.07,,,,42.41,,,39.95,,,33.04,,,50.96,,,51.85,,,74.75,,,111.52,,,68.71,,,60.27
Dividend Payout %,DIVISLAB,,,,,,,,33%,,,34%,,,,31%,,,,24%,,,25%,,,30%,,,31%,,,31%,,,27%,,,27%,,,44%,,,50%
Sales,DIXON,20999,,,,,,,767,,,1094,,,,1201,,,,1389,,,2457,,,2842,,,2984,,,4400,,,6448,,,10697,,,12192,,,17691
Expenses,DIXON,20186,,,,,,,746,,,1067,,,,1169,,,,1340,,,2365,,,2729,,,2848,,,4172,,,6156,,,10313,,,11673,,,16993
Operating Profit,DIXON,814,,,,,,,21,,,26,,,,32,,,,49,,,92,,,113,,,136,,,228,,,292,,,384,,,519,,,698
OPM %,DIXON,4%,,,,,,,3%,,,2%,,,,3%,,,,4%,,,4%,,,4%,,,5%,,,5%,,,5%,,,4%,,,4%,,,4%
Other Income,DIXON,43,,,,,,,0,,,8,,,,2,,,,23,,,1,,,4,,,6,,,5,,,1,,,4,,,4,,,33
Interest,DIXON,90,,,,,,,11,,,11,,,,10,,,,13,,,16,,,13,,,26,,,39,,,33,,,49,,,64,,,75
Depreciation,DIXON,183,,,,,,,5,,,5,,,,7,,,,8,,,11,,,15,,,22,,,37,,,44,,,84,,,115,,,162
Profit before tax,DIXON,584,,,,,,,5,,,18,,,,17,,,,51,,,66,,,88,,,94,,,157,,,217,,,255,,,345,,,494
Tax %,DIXON,,,,,,,,30%,,,19%,,,,24%,,,,16%,,,28%,,,31%,,,32%,,,23%,,,26%,,,25%,,,26%,,,24%
Net Profit,DIXON,447,,,,,,,3,,,14,,,,13,,,,43,,,48,,,61,,,63,,,120,,,160,,,190,,,255,,,375
EPS in Rs,DIXON,72.39,,,,,,,3.21,,,8.72,,,,7.65,,,,27.46,,,8.66,,,10.76,,,11.19,,,20.81,,,27.28,,,32.05,,,42.90,,,61.47
Dividend Payout %,DIXON,,,,,,,,6%,,,2%,,,,3%,,,,9%,,,14%,,,4%,,,4%,,,4%,,,4%,,,6%,,,7%,,,8%
Sales,DMART,52993,,,,,,,3341,,,4686,,,,6439,,,,8584,,,11898,,,15033,,,20005,,,24870,,,24143,,,30976,,,42840,,,50789
Expenses,DMART,48703,,,,,,,3126,,,4345,,,,5983,,,,7919,,,10929,,,13680,,,18371,,,22742,,,22398,,,28474,,,39201,,,46683
Operating Profit,DMART,4290,,,,,,,215,,,341,,,,456,,,,664,,,969,,,1353,,,1633,,,2128,,,1745,,,2502,,,3639,,,4106
OPM %,DMART,8%,,,,,,,6%,,,7%,,,,7%,,,,8%,,,8%,,,9%,,,8%,,,9%,,,7%,,,8%,,,8%,,,8%
Other Income,DMART,149,,,,,,,15,,,16,,,,20,,,,17,,,28,,,88,,,48,,,60,,,194,,,114,,,128,,,145
Interest,DMART,60,,,,,,,43,,,56,,,,72,,,,91,,,122,,,60,,,47,,,69,,,42,,,54,,,67,,,58
Depreciation,DMART,761,,,,,,,46,,,57,,,,82,,,,98,,,128,,,159,,,212,,,374,,,414,,,498,,,639,,,731
Profit before tax,DMART,3618,,,,,,,141,,,245,,,,323,,,,492,,,747,,,1222,,,1422,,,1745,,,1483,,,2064,,,3060,,,3461
Tax %,DMART,,,,,,,,34%,,,34%,,,,34%,,,,35%,,,36%,,,34%,,,37%,,,25%,,,26%,,,28%,,,22%,,,27%
Net Profit,DMART,2651,,,,,,,94,,,161,,,,212,,,,320,,,479,,,806,,,902,,,1301,,,1099,,,1492,,,2378,,,2536
EPS in Rs,DMART,40.74,,,,,,,1.73,,,2.95,,,,3.77,,,,5.70,,,7.67,,,12.92,,,14.46,,,20.09,,,16.97,,,23.04,,,36.69,,,38.97
Dividend Payout %,DMART,,,,,,,,0%,,,0%,,,,0%,,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%
Sales,DRREDDY,28949,,,,,,,11833,,,13415,,,,15023,,,,15568,,,14196,,,14281,,,15448,,,17517,,,19048,,,21545,,,24670,,,28011
Expenses,DRREDDY,20957,,,,,,,9164,,,10164,,,,11515,,,,11983,,,11724,,,11930,,,12270,,,15040,,,15173,,,17778,,,18200,,,20078
Operating Profit,DRREDDY,7992,,,,,,,2669,,,3251,,,,3508,,,,3585,,,2472,,,2351,,,3178,,,2477,,,3874,,,3768,,,6470,,,7933
OPM %,DRREDDY,28%,,,,,,,23%,,,24%,,,,23%,,,,23%,,,17%,,,16%,,,21%,,,14%,,,20%,,,17%,,,26%,,,28%
Other Income,DRREDDY,932,,,,,,,146,,,170,,,,260,,,,295,,,172,,,155,,,381,,,670,,,335,,,555,,,971,,,909
Interest,DRREDDY,194,,,,,,,100,,,127,,,,108,,,,83,,,63,,,79,,,89,,,98,,,97,,,96,,,143,,,171
Depreciation,DRREDDY,1497,,,,,,,550,,,648,,,,760,,,,939,,,1027,,,1077,,,1135,,,1163,,,1229,,,1165,,,1250,,,1470
Profit before tax,DRREDDY,7234,,,,,,,2165,,,2646,,,,2900,,,,2859,,,1554,,,1350,,,2336,,,1886,,,2884,,,3061,,,6048,,,7201
Tax %,DRREDDY,,,,,,,,29%,,,26%,,,,19%,,,,26%,,,19%,,,32%,,,17%,,,-7%,,,32%,,,29%,,,25%,,,23%
Net Profit,DRREDDY,5565,,,,,,,1527,,,1963,,,,2336,,,,2131,,,1292,,,947,,,1950,,,2026,,,1952,,,2182,,,4507,,,5578
EPS in Rs,DRREDDY,333.63,,,,,,,89.90,,,115.41,,,,137.13,,,,124.88,,,77.96,,,57.07,,,117.42,,,121.92,,,117.35,,,131.14,,,270.66,,,334.37
Dividend Payout %,DRREDDY,,,,,,,,17%,,,16%,,,,15%,,,,16%,,,26%,,,35%,,,17%,,,21%,,,21%,,,23%,,,15%,,,12%
Sales,EICHERMOT,16942,,,,,,6390,,,6810,,,,8738,,,,,6173,,,7033,,,8965,,,9797,,,9154,,,8720,,,10298,,,14442,,,16536
Expenses,EICHERMOT,12471,,,,,,5840,,,6094,,,,7621,,,,,4484,,,4859,,,6156,,,6893,,,6971,,,6937,,,8120,,,10996,,,12206
Operating Profit,EICHERMOT,4472,,,,,,550,,,715,,,,1118,,,,,1690,,,2174,,,2809,,,2904,,,2183,,,1783,,,2178,,,3446,,,4329
OPM %,EICHERMOT,26%,,,,,,9%,,,11%,,,,13%,,,,,27%,,,31%,,,31%,,,30%,,,24%,,,20%,,,21%,,,24%,,,26%
Other Income,EICHERMOT,1636,,,,,,136,,,93,,,,105,,,,,326,,,416,,,536,,,701,,,572,,,482,,,496,,,908,,,1521
Interest,EICHERMOT,53,,,,,,4,,,8,,,,10,,,,,2,,,4,,,5,,,7,,,19,,,16,,,19,,,28,,,51
Depreciation,EICHERMOT,624,,,,,,82,,,130,,,,220,,,,,137,,,154,,,223,,,300,,,382,,,451,,,452,,,526,,,598
Profit before tax,EICHERMOT,5431,,,,,,600,,,671,,,,993,,,,,1877,,,2433,,,3116,,,3297,,,2355,,,1798,,,2203,,,3800,,,5202
Tax %,EICHERMOT,,,,,,,21%,,,22%,,,,29%,,,,,29%,,,30%,,,30%,,,33%,,,22%,,,25%,,,24%,,,23%,,,23%
Net Profit,EICHERMOT,4184,,,,,,475,,,525,,,,702,,,,,1338,,,1667,,,1960,,,2203,,,1827,,,1347,,,1677,,,2914,,,4001
EPS in Rs,EICHERMOT,152.80,,,,,,12.01,,,14.57,,,,22.71,,,,,49.27,,,61.27,,,71.89,,,80.75,,,66.91,,,49.28,,,61.32,,,106.55,,,146.13
Dividend Payout %,EICHERMOT,,,,,,,17%,,,21%,,,,22%,,,,,20%,,,16%,,,15%,,,15%,,,19%,,,34%,,,34%,,,35%,,,35%
Sales,ETHOSLTD,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,444,,,458,,,387,,,577,,,789,,,999
Expenses,ETHOSLTD,881,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,402,,,344,,,505,,,668,,,847
Operating Profit,ETHOSLTD,161,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,56,,,43,,,72,,,120,,,152
OPM %,ETHOSLTD,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,12%,,,11%,,,12%,,,15%,,,15%
Other Income,ETHOSLTD,26,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,17,,,13,,,15,,,24
Interest,ETHOSLTD,17,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,24,,,20,,,21,,,20,,,16
Depreciation,ETHOSLTD,52,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,33,,,33,,,32,,,35,,,49
Profit before tax,ETHOSLTD,118,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,2,,,7,,,32,,,81,,,111
Tax %,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,39%,,,168%,,,29%,,,26%,,,25%,,,25%
Net Profit,ETHOSLTD,88,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,-1,,,5,,,23,,,60,,,83
EPS in Rs,ETHOSLTD,36.28,,,,,,,,,,,,,,,,,,,,,,,,,,,7.91,,,-0.73,,,2.61,,,12.26,,,25.83,,,34.02
Dividend Payout %,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%
Sales,EXIDEIND,16960,,,,,,,6308,,,8254,,,,9471,,,,9477,,,11179,,,12808,,,14721,,,14471,,,10359,,,12789,,,15078,,,16770
Expenses,EXIDEIND,15108,,,,,,,5452,,,7385,,,,8528,,,,8289,,,9805,,,11400,,,13159,,,13014,,,8994,,,11387,,,13485,,,14946
Operating Profit,EXIDEIND,1852,,,,,,,855,,,869,,,,944,,,,1187,,,1374,,,1408,,,1562,,,1457,,,1366,,,1402,,,1593,,,1823
OPM %,EXIDEIND,11%,,,,,,,14%,,,11%,,,,10%,,,,13%,,,12%,,,11%,,,11%,,,10%,,,13%,,,11%,,,11%,,,11%
Other Income,EXIDEIND,84,,,,,,,56,,,73,,,,94,,,,59,,,102,,,21,,,148,,,40,,,132,,,3725,,,125,,,88
Interest,EXIDEIND,122,,,,,,,12,,,14,,,,9,,,,79,,,153,,,114,,,117,,,108,,,37,,,64,,,79,,,120
Depreciation,EXIDEIND,572,,,,,,,122,,,140,,,,155,,,,175,,,226,,,267,,,344,,,418,,,394,,,440,,,502,,,560
Profit before tax,EXIDEIND,1243,,,,,,,777,,,787,,,,874,,,,992,,,1097,,,1048,,,1249,,,972,,,1068,,,4623,,,1138,,,1231
Tax %,EXIDEIND,,,,,,,,31%,,,31%,,,,29%,,,,29%,,,27%,,,34%,,,32%,,,22%,,,25%,,,6%,,,28%,,,28%
Net Profit,EXIDEIND,879,,,,,,,551,,,546,,,,616,,,,700,,,804,,,694,,,847,,,762,,,803,,,4357,,,823,,,883
EPS in Rs,EXIDEIND,10.29,,,,,,,6.46,,,6.41,,,,7.23,,,,8.20,,,9.42,,,8.13,,,9.95,,,9.14,,,9.53,,,51.38,,,9.68,,,10.31
Dividend Payout %,EXIDEIND,,,,,,,,25%,,,28%,,,,30%,,,,29%,,,25%,,,30%,,,24%,,,45%,,,21%,,,4%,,,21%,,,19%
Sales,FINEORG,2125,,,,,,,,,,,,,,,,,,660,,,778,,,856,,,1060,,,1038,,,1133,,,1876,,,3023,,,2123
Expenses,FINEORG,1595,,,,,,,,,,,,,,,,,,514,,,633,,,697,,,827,,,803,,,935,,,1513,,,2194,,,1592
Operating Profit,FINEORG,530,,,,,,,,,,,,,,,,,,146,,,145,,,158,,,234,,,235,,,198,,,363,,,829,,,531
OPM %,FINEORG,25%,,,,,,,,,,,,,,,,,,22%,,,19%,,,19%,,,22%,,,23%,,,17%,,,19%,,,27%,,,25%
Other Income,FINEORG,81,,,,,,,,,,,,,,,,,,8,,,4,,,16,,,20,,,20,,,17,,,33,,,64,,,71
Interest,FINEORG,2,,,,,,,,,,,,,,,,,,7,,,4,,,3,,,2,,,5,,,6,,,5,,,5,,,2
Depreciation,FINEORG,56,,,,,,,,,,,,,,,,,,30,,,24,,,20,,,17,,,35,,,47,,,40,,,48,,,56
Profit before tax,FINEORG,553,,,,,,,,,,,,,,,,,,117,,,121,,,151,,,234,,,216,,,162,,,352,,,841,,,544
Tax %,FINEORG,,,,,,,,,,,,,,,,,,,35%,,,36%,,,37%,,,40%,,,24%,,,26%,,,26%,,,26%,,,24%
Net Profit,FINEORG,425,,,,,,,,,,,,,,,,,,76,,,78,,,95,,,136,,,165,,,120,,,260,,,618,,,412
EPS in Rs,FINEORG,138.74,,,,,,,,,,,,,,,,,,157.74,,,161.22,,,31.09,,,44.43,,,53.74,,,39.24,,,84.67,,,201.60,,,134.34
Dividend Payout %,FINEORG,,,,,,,,,,,,,,,,,,,29%,,,9%,,,23%,,,16%,,,13%,,,28%,,,11%,,,4%,,,7%
Sales,GMMPFAUDLR,3319,,,,,,,213,,,279,,,,308,,,,292,,,353,,,406,,,503,,,591,,,1001,,,2541,,,3178,,,3446
Expenses,GMMPFAUDLR,2884,,,,,,,197,,,246,,,,272,,,,257,,,306,,,344,,,426,,,479,,,862,,,2257,,,2748,,,2970
Operating Profit,GMMPFAUDLR,435,,,,,,,16,,,33,,,,36,,,,35,,,48,,,62,,,77,,,112,,,139,,,284,,,429,,,477
OPM %,GMMPFAUDLR,13%,,,,,,,8%,,,12%,,,,12%,,,,12%,,,13%,,,15%,,,15%,,,19%,,,14%,,,11%,,,14%,,,14%
Other Income,GMMPFAUDLR,21,,,,,,,5,,,4,,,,3,,,,4,,,6,,,9,,,8,,,5,,,-10,,,7,,,30,,,20
Interest,GMMPFAUDLR,99,,,,,,,1,,,1,,,,1,,,,1,,,1,,,1,,,1,,,3,,,10,,,25,,,67,,,95
Depreciation,GMMPFAUDLR,137,,,,,,,7,,,9,,,,10,,,,8,,,8,,,10,,,11,,,21,,,50,,,133,,,122,,,147
Profit before tax,GMMPFAUDLR,220,,,,,,,13,,,27,,,,28,,,,30,,,44,,,61,,,73,,,92,,,68,,,133,,,271,,,255
Tax %,GMMPFAUDLR,,,,,,,,28%,,,30%,,,,33%,,,,33%,,,29%,,,30%,,,31%,,,23%,,,7%,,,44%,,,22%,,,32%
Net Profit,GMMPFAUDLR,151,,,,,,,10,,,19,,,,19,,,,20,,,31,,,43,,,51,,,71,,,64,,,75,,,210,,,174
EPS in Rs,GMMPFAUDLR,34.78,,,,,,,2.21,,,4.34,,,,4.30,,,,4.58,,,7.09,,,9.72,,,11.52,,,16.20,,,16.73,,,19.37,,,36.37,,,39.80
Dividend Payout %,GMMPFAUDLR,,,,,,,,42%,,,23%,,,,23%,,,,22%,,,19%,,,14%,,,13%,,,10%,,,10%,,,10%,,,6%,,,5%
Sales,GODREJPROP,2839,,,,,,,1037,,,1179,,,,1843,,,,2123,,,1583,,,1604,,,2817,,,2441,,,765,,,1825,,,2252,,,3036
Expenses,GODREJPROP,3064,,,,,,,751,,,897,,,,1586,,,,1986,,,1330,,,1819,,,2639,,,2181,,,1214,,,1880,,,2045,,,3165
Operating Profit,GODREJPROP,-225,,,,,,,286,,,283,,,,257,,,,137,,,253,,,-216,,,178,,,260,,,-449,,,-56,,,207,,,-130
OPM %,GODREJPROP,-8%,,,,,,,28%,,,24%,,,,14%,,,,6%,,,16%,,,-13%,,,6%,,,11%,,,-59%,,,-3%,,,9%,,,-4%
Other Income,GODREJPROP,1966,,,,,,,10,,,75,,,,83,,,,146,,,150,,,499,,,419,,,473,,,568,,,761,,,787,,,1326
Interest,GODREJPROP,163,,,,,,,3,,,4,,,,5,,,,41,,,104,,,150,,,234,,,220,,,185,,,167,,,174,,,152
Depreciation,GODREJPROP,54,,,,,,,4,,,6,,,,10,,,,14,,,14,,,16,,,14,,,21,,,20,,,21,,,24,,,45
Profit before tax,GODREJPROP,1523,,,,,,,289,,,347,,,,326,,,,228,,,284,,,117,,,348,,,493,,,-86,,,516,,,795,,,1000
Tax %,GODREJPROP,,,,,,,,32%,,,32%,,,,28%,,,,30%,,,27%,,,26%,,,27%,,,44%,,,121%,,,32%,,,22%,,,25%
Net Profit,GODREJPROP,1132,,,,,,,197,,,236,,,,236,,,,160,,,207,,,87,,,253,,,274,,,-189,,,351,,,621,,,747
EPS in Rs,GODREJPROP,40.29,,,,,,,6.95,,,8.00,,,,9.58,,,,7.33,,,9.56,,,4.01,,,11.04,,,10.73,,,-6.81,,,12.68,,,20.55,,,26.08
Dividend Payout %,GODREJPROP,,,,,,,,23%,,,25%,,,,21%,,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%
Sales,GREENLAM,2396,,,,,,,,,,0,,,,926,,,,1030,,,1076,,,1145,,,1281,,,1321,,,1200,,,1703,,,2026,,,2306
Expenses,GREENLAM,2102,,,,,,,,,,0,,,,833,,,,900,,,937,,,996,,,1122,,,1142,,,1026,,,1516,,,1793,,,2010
Operating Profit,GREENLAM,294,,,,,,,,,,-0,,,,93,,,,130,,,139,,,149,,,159,,,179,,,174,,,188,,,233,,,296
OPM %,GREENLAM,12%,,,,,,,,,,,,,,10%,,,,13%,,,13%,,,13%,,,12%,,,14%,,,14%,,,11%,,,12%,,,13%
Other Income,GREENLAM,21,,,,,,,,,,0,,,,2,,,,3,,,2,,,2,,,1,,,4,,,-5,,,4,,,18,,,20
Interest,GREENLAM,51,,,,,,,,,,0,,,,33,,,,35,,,29,,,18,,,17,,,22,,,17,,,14,,,23,,,44
Depreciation,GREENLAM,96,,,,,,,,,,0,,,,33,,,,35,,,37,,,36,,,37,,,52,,,56,,,58,,,63,,,87
Profit before tax,GREENLAM,168,,,,,,,,,,-0,,,,28,,,,62,,,76,,,97,,,106,,,108,,,96,,,119,,,164,,,185
Tax %,GREENLAM,,,,,,,,,,,0%,,,,32%,,,,40%,,,34%,,,33%,,,27%,,,20%,,,23%,,,24%,,,22%,,,25%
Net Profit,GREENLAM,125,,,,,,,,,,-0,,,,19,,,,38,,,50,,,65,,,77,,,87,,,74,,,91,,,129,,,138
EPS in Rs,GREENLAM,9.85,,,,,,,,,,-0.20,,,,1.60,,,,3.12,,,4.11,,,5.35,,,6.39,,,7.18,,,6.11,,,7.52,,,10.13,,,10.85
Dividend Payout %,GREENLAM,,,,,,,,,,,0%,,,,6%,,,,6%,,,7%,,,9%,,,9%,,,11%,,,16%,,,16%,,,15%,,,15%
Sales,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,0,,,599,,,877,,,1021,,,1625,,,1783,,,1567
Expenses,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,0,,,522,,,738,,,814,,,1192,,,1364,,,1320
Operating Profit,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,-0,,,77,,,138,,,207,,,433,,,419,,,247
OPM %,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,16%,,,20%,,,27%,,,24%,,,16%
