Ratios,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Debtor Days,CENTUM,,,,,,,132,,,83,,,,83,,,,92,,,99,,,113,,,108,,,103,,,96,,,117,,,131,,,76
Inventory Days,CENTUM,,,,,,,138,,,107,,,,185,,,,223,,,216,,,295,,,225,,,242,,,205,,,272,,,230,,,220
Days Payable,CENTUM,,,,,,,102,,,60,,,,64,,,,114,,,144,,,205,,,138,,,183,,,115,,,138,,,185,,,165
Cash Conversion Cycle,CENTUM,,,,,,,167,,,131,,,,203,,,,202,,,171,,,203,,,195,,,162,,,187,,,251,,,175,,,132
Working Capital Days,CENTUM,,,,,,,123,,,88,,,,113,,,,110,,,93,,,142,,,101,,,71,,,95,,,72,,,65,,,41
ROCE %,CENTUM,,,,,,,11%,,,35%,,,,36%,,,,14%,,,15%,,,1%,,,10%,,,12%,,,8%,,,6%,,,8%,,,10%
Debtor Days,CGPOWER,,,,,,,95,,,96,,,,194,,,,144,,,124,,,109,,,77,,,37,,,72,,,63,,,68,,,70
Inventory Days,CGPOWER,,,,,,,75,,,67,,,,128,,,,59,,,83,,,85,,,84,,,42,,,79,,,48,,,41,,,49
Days Payable,CGPOWER,,,,,,,112,,,111,,,,202,,,,132,,,130,,,130,,,162,,,143,,,191,,,107,,,94,,,98
Cash Conversion Cycle,CGPOWER,,,,,,,58,,,52,,,,120,,,,71,,,77,,,64,,,-1,,,-63,,,-40,,,3,,,15,,,21
Working Capital Days,CGPOWER,,,,,,,30,,,33,,,,125,,,,95,,,330,,,3,,,-38,,,-209,,,-128,,,-59,,,4,,,9
ROCE %,CGPOWER,,,,,,,5%,,,11%,,,,5%,,,,5%,,,-4%,,,-1%,,,2%,,,-4%,,,8%,,,43%,,,62%,,,47%
Debtor Days,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,48,,,31,,,46,,,50,,,52,,,34
Inventory Days,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,70,,,65,,,139,,,67,,,122,,,216
Days Payable,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,84,,,85,,,130,,,38,,,71,,,104
Cash Conversion Cycle,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,34,,,10,,,54,,,79,,,103,,,145
Working Capital Days,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,-114.0,,,-27,,,9,,,-5,,,-92,,,-399,,,-164
ROCE %,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,22%,,,25%,,,20%,,,17%,,,8%,,,21%
Debtor Days,COFORGE,,,,,,,82,,,89,,,,93,,,,80,,,61,,,71,,,58,,,75,,,84,,,79,,,73,,,72
Inventory Days,COFORGE,,,,,,,13,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,COFORGE,,,,,,,519,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,COFORGE,,,,,,,-424,,,-260,,,,93,,,,80,,,61,,,71,,,58,,,75,,,84,,,79,,,73,,,72
Working Capital Days,COFORGE,,,,,,,57,,,70,,,,48,,,,64,,,38,,,30,,,37,,,38,,,36,,,37,,,15,,,35
ROCE %,COFORGE,,,,,,,28%,,,26%,,,,19%,,,,25%,,,23%,,,23%,,,30%,,,27%,,,25%,,,32%,,,31%,,,29%
Debtor Days,CONCOR,,,,,,,2,,,4,,,,4,,,,3,,,4,,,5,,,5,,,9,,,9,,,9,,,10,,,14
Inventory Days,CONCOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,CONCOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,CONCOR,,,,,,,2,,,4,,,,4,,,,3,,,4,,,5,,,5,,,9,,,9,,,9,,,10,,,14
Working Capital Days,CONCOR,,,,,,,-8,,,-15,,,,-37,,,,-15,,,5,,,5,,,168,,,-25,,,-32,,,-26,,,-15,,,-4
ROCE %,CONCOR,,,,,,,20%,,,19%,,,,18%,,,,16%,,,14%,,,15%,,,16%,,,13%,,,7%,,,13%,,,14%,,,14%
Debtor Days,CYIENT,,,,,,,77,,,79,,,,71,,,,72,,,66,,,64,,,64,,,60,,,71,,,59,,,68,,,64
Inventory Days,CYIENT,,,,,,,,,,,,,,,,,,189,,,124,,,156,,,160,,,211,,,110,,,178,,,228,,,177
Days Payable,CYIENT,,,,,,,,,,,,,,,,,,599,,,522,,,453,,,323,,,347,,,314,,,336,,,374,,,260
Cash Conversion Cycle,CYIENT,,,,,,,77,,,79,,,,71,,,,-337,,,-331,,,-233,,,-99,,,-76,,,-133,,,-99,,,-78,,,-19
Working Capital Days,CYIENT,,,,,,,61,,,65,,,,54,,,,55,,,39,,,53,,,64,,,64,,,54,,,55,,,49,,,56
ROCE %,CYIENT,,,,,,,26%,,,24%,,,,25%,,,,22%,,,22%,,,23%,,,24%,,,17%,,,15%,,,20%,,,20%,,,22%
Debtor Days,DABUR,,,,,,,29,,,35,,,,33,,,,38,,,31,,,33,,,36,,,34,,,21,,,22,,,27,,,26
Inventory Days,DABUR,,,,,,,144,,,150,,,,136,,,,150,,,153,,,169,,,154,,,164,,,178,,,169,,,158,,,149
Days Payable,DABUR,,,,,,,122,,,169,,,,153,,,,182,,,181,,,190,,,172,,,176,,,197,,,178,,,171,,,186
Cash Conversion Cycle,DABUR,,,,,,,51,,,16,,,,16,,,,6,,,3,,,13,,,17,,,22,,,3,,,12,,,14,,,-10
Working Capital Days,DABUR,,,,,,,12,,,2,,,,7,,,,21,,,14,,,21,,,16,,,22,,,5,,,7,,,10,,,2
ROCE %,DABUR,,,,,,,33%,,,35%,,,,36%,,,,35%,,,31%,,,28%,,,28%,,,28%,,,27%,,,27%,,,23%,,,22%
Debtor Days,DEEPAKNTR,,,,,,,,,,,,,,86.0,,,,83,,,96,,,91,,,78,,,53,,,63,,,61,,,60,,,62
Inventory Days,DEEPAKNTR,,,,,,,,,,,,,,47.0,,,,54,,,75,,,118,,,94,,,63,,,64,,,53,,,62,,,54
Days Payable,DEEPAKNTR,,,,,,,,,,,,,,48.0,,,,59,,,95,,,176,,,106,,,57,,,72,,,46,,,46,,,41
Cash Conversion Cycle,DEEPAKNTR,,,,,,,,,,,,,,85.0,,,,79,,,76,,,32,,,66,,,59,,,56,,,67,,,76,,,74
Working Capital Days,DEEPAKNTR,,,,,,,,,,,,,,60.0,,,,43,,,51,,,44,,,70,,,55,,,62,,,63,,,71,,,70
ROCE %,DEEPAKNTR,,,,,,,,,,,,,,,,,,14%,,,8%,,,10%,,,17%,,,38%,,,40%,,,44%,,,30%,,,22%
Debtor Days,DIVISLAB,,,,,,,87,,,104,,,,87,,,,85,,,81,,,95,,,86,,,96,,,88,,,99,,,84,,,100
Inventory Days,DIVISLAB,,,,,,,382,,,372,,,,350,,,,293,,,307,,,314,,,347,,,316,,,329,,,341,,,352,,,364
Days Payable,DIVISLAB,,,,,,,73,,,61,,,,68,,,,56,,,104,,,96,,,96,,,100,,,117,,,96,,,89,,,94
Cash Conversion Cycle,DIVISLAB,,,,,,,396,,,416,,,,368,,,,322,,,284,,,313,,,336,,,312,,,300,,,344,,,347,,,370
Working Capital Days,DIVISLAB,,,,,,,152,,,159,,,,143,,,,162,,,151,,,182,,,177,,,182,,,152,,,177,,,188,,,206
ROCE %,DIVISLAB,,,,,,,33%,,,36%,,,,33%,,,,36%,,,29%,,,22%,,,29%,,,25%,,,32%,,,35%,,,19%,,,16%
Debtor Days,DIXON,,,,,,,20,,,15,,,,17,,,,23,,,42,,,38,,,63,,,43,,,62,,,46,,,51,,,48
Inventory Days,DIXON,,,,,,,49,,,34,,,,38,,,,41,,,47,,,47,,,57,,,47,,,47,,,43,,,32,,,39
Days Payable,DIXON,,,,,,,60,,,36,,,,46,,,,56,,,84,,,75,,,103,,,89,,,108,,,86,,,81,,,92
Cash Conversion Cycle,DIXON,,,,,,,9,,,13,,,,9,,,,8,,,5,,,10,,,17,,,1,,,1,,,3,,,2,,,-6
Working Capital Days,DIXON,,,,,,,24,,,22,,,,16,,,,15,,,11,,,12,,,28,,,15,,,14,,,9,,,-0,,,-1
ROCE %,DIXON,,,,,,,10%,,,18%,,,,16%,,,,29%,,,37%,,,34%,,,27%,,,34%,,,30%,,,23%,,,24%,,,29%
Debtor Days,DMART,,,,,,,1,,,1,,,,0,,,,0,,,1,,,1,,,1,,,0,,,1,,,1,,,1,,,1
Inventory Days,DMART,,,,,,,35,,,35,,,,36,,,,34,,,34,,,34,,,35,,,34,,,40,,,38,,,33,,,33
Days Payable,DMART,,,,,,,12,,,11,,,,8,,,,10,,,9,,,9,,,10,,,8,,,10,,,8,,,8,,,8
Cash Conversion Cycle,DMART,,,,,,,25,,,24,,,,28,,,,24,,,26,,,25,,,26,,,26,,,30,,,31,,,26,,,26
Working Capital Days,DMART,,,,,,,19,,,20,,,,22,,,,11,,,9,,,16,,,17,,,23,,,24,,,24,,,22,,,26
ROCE %,DMART,,,,,,,15%,,,21%,,,,21%,,,,24%,,,21%,,,24%,,,26%,,,20%,,,13%,,,16%,,,20%,,,19%
Debtor Days,DRREDDY,,,,,,,98,,,90,,,,100,,,,97,,,98,,,104,,,94,,,105,,,95,,,113,,,107,,,105
Inventory Days,DRREDDY,,,,,,,229,,,271,,,,248,,,,248,,,282,,,263,,,273,,,230,,,273,,,250,,,232,,,283
Days Payable,DRREDDY,,,,,,,102,,,100,,,,84,,,,88,,,104,,,121,,,111,,,100,,,109,,,111,,,108,,,116
Cash Conversion Cycle,DRREDDY,,,,,,,225,,,261,,,,264,,,,257,,,275,,,246,,,256,,,235,,,259,,,252,,,231,,,271
Working Capital Days,DRREDDY,,,,,,,79,,,88,,,,79,,,,87,,,98,,,104,,,93,,,93,,,103,,,108,,,102,,,137
ROCE %,DRREDDY,,,,,,,25%,,,25%,,,,22%,,,,19%,,,9%,,,8%,,,13%,,,11%,,,16%,,,14%,,,27%,,,27%
Debtor Days,EICHERMOT,,,,,,25,,,27,,,,23,,,,,2,,,3,,,3,,,3,,,3,,,7,,,11,,,9,,,8
Inventory Days,EICHERMOT,,,,,,39,,,41,,,,41,,,,,33,,,33,,,31,,,46,,,42,,,62,,,69,,,57,,,57
Days Payable,EICHERMOT,,,,,,76,,,94,,,,96,,,,,77,,,75,,,92,,,89,,,74,,,108,,,110,,,80,,,85
Cash Conversion Cycle,EICHERMOT,,,,,,-12,,,-25,,,,-31,,,,,-42,,,-40,,,-58,,,-40,,,-28,,,-39,,,-29,,,-14,,,-19
Working Capital Days,EICHERMOT,,,,,,-20,,,-27,,,,-33,,,,,-45,,,-49,,,-58,,,-35,,,-37,,,-23,,,-12,,,-10,,,8
ROCE %,EICHERMOT,,,,,,22%,,,22%,,,,28%,,,,,51%,,,53%,,,49%,,,41%,,,25%,,,17%,,,18%,,,27%,,,31%
Debtor Days,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,7,,,12,,,3,,,3,,,6
Inventory Days,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0,,,242,,,256,,,222,,,228,,,230
Days Payable,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,80,,,93,,,74,,,65,,,50
Cash Conversion Cycle,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,,,170,,,174,,,151,,,166,,,185
Working Capital Days,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,,,135,,,134,,,118,,,132,,,139
ROCE %,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,9%,,,15%,,,18%,,,14%
Debtor Days,EXIDEIND,,,,,,,34,,,29,,,,27,,,,28,,,24,,,31,,,31,,,27,,,38,,,31,,,30,,,30
Inventory Days,EXIDEIND,,,,,,,126,,,118,,,,129,,,,106,,,131,,,120,,,107,,,138,,,144,,,120,,,121,,,124
Days Payable,EXIDEIND,,,,,,,89,,,100,,,,82,,,,96,,,93,,,91,,,81,,,92,,,130,,,78,,,65,,,87
Cash Conversion Cycle,EXIDEIND,,,,,,,71,,,47,,,,74,,,,37,,,61,,,60,,,56,,,73,,,52,,,74,,,85,,,67
Working Capital Days,EXIDEIND,,,,,,,40,,,12,,,,22,,,,2,,,16,,,23,,,17,,,23,,,-11,,,44,,,50,,,37
ROCE %,EXIDEIND,,,,,,,27%,,,24%,,,,23%,,,,26%,,,26%,,,23%,,,21%,,,17%,,,14%,,,11%,,,10%,,,10%
Debtor Days,FINEORG,,,,,,,,,,,,,,,,,,49.0,,,52,,,62,,,54,,,47,,,52,,,59,,,42,,,54
Inventory Days,FINEORG,,,,,,,,,,,,,,,,,,72.0,,,68,,,58,,,50,,,79,,,63,,,72,,,91,,,78
Days Payable,FINEORG,,,,,,,,,,,,,,,,,,50.0,,,47,,,46,,,30,,,51,,,49,,,47,,,36,,,41
Cash Conversion Cycle,FINEORG,,,,,,,,,,,,,,,,,,71.0,,,72,,,75,,,74,,,74,,,66,,,84,,,97,,,91
Working Capital Days,FINEORG,,,,,,,,,,,,,,,,,,80.0,,,88,,,102,,,83,,,63,,,75,,,85,,,80,,,78
ROCE %,FINEORG,,,,,,,,,,,,,,,,,,,,,35%,,,38%,,,44%,,,32%,,,22%,,,39%,,,65%,,,31%
Debtor Days,GMMPFAUDLR,,,,,,,50,,,57,,,,45,,,,61,,,72,,,45,,,49,,,46,,,113,,,51,,,50,,,46
Inventory Days,GMMPFAUDLR,,,,,,,214,,,270,,,,202,,,,214,,,201,,,207,,,181,,,181,,,470,,,241,,,220,,,165
Days Payable,GMMPFAUDLR,,,,,,,83,,,90,,,,97,,,,93,,,133,,,132,,,100,,,92,,,246,,,141,,,153,,,106
Cash Conversion Cycle,GMMPFAUDLR,,,,,,,181,,,236,,,,150,,,,182,,,140,,,121,,,130,,,134,,,337,,,151,,,117,,,105
Working Capital Days,GMMPFAUDLR,,,,,,,41,,,56,,,,46,,,,51,,,65,,,43,,,56,,,80,,,104,,,53,,,57,,,64
ROCE %,GMMPFAUDLR,,,,,,,10%,,,21%,,,,20%,,,,19%,,,22%,,,29%,,,29%,,,31%,,,15%,,,13%,,,22%,,,19%
Debtor Days,GODREJPROP,,,,,,,37,,,50,,,,34,,,,30,,,53,,,36,,,21,,,65,,,120,,,38,,,58,,,37
Inventory Days,GODREJPROP,,,,,,,,,,,,,,,,,,,,,,,,5457,,,495,,,,,,,,,,,,,,,
Days Payable,GODREJPROP,,,,,,,,,,,,,,,,,,,,,,,,457,,,56,,,,,,,,,,,,,,,
Cash Conversion Cycle,GODREJPROP,,,,,,,37,,,50,,,,34,,,,30,,,53,,,5035,,,461,,,65,,,120,,,38,,,58,,,37
Working Capital Days,GODREJPROP,,,,,,,976,,,1020,,,,848,,,,635,,,1070,,,478,,,263,,,452,,,2617,,,1312,,,1574,,,1565
ROCE %,GODREJPROP,,,,,,,9%,,,8%,,,,5%,,,,5%,,,7%,,,1%,,,10%,,,9%,,,1%,,,5%,,,6%,,,6%
Debtor Days,GREENLAM,,,,,,,,,,,,,,72,,,,65,,,54,,,54,,,50,,,38,,,41,,,28,,,26,,,24
Inventory Days,GREENLAM,,,,,,,,,,,,,,160,,,,168,,,147,,,156,,,163,,,202,,,229,,,195,,,174,,,204
Days Payable,GREENLAM,,,,,,,,,,,,,,129,,,,128,,,83,,,96,,,86,,,91,,,135,,,99,,,93,,,117
Cash Conversion Cycle,GREENLAM,,,,,,,,,,,,,,103,,,,105,,,117,,,115,,,128,,,149,,,135,,,123,,,106,,,112
Working Capital Days,GREENLAM,,,,,,,,,,,,,,94,,,,66,,,79,,,77,,,88,,,88,,,88,,,80,,,58,,,61
ROCE %,GREENLAM,,,,,,,,,,,,,,20%,,,,16%,,,17%,,,19%,,,19%,,,18%,,,15%,,,14%,,,14%,,,12%
Debtor Days,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,29,,,28,,,9,,,9,,,7
Inventory Days,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,143,,,118,,,90,,,75,,,107
Days Payable,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,112,,,102,,,75,,,54,,,58
Cash Conversion Cycle,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,60,,,43,,,25,,,29,,,55
Working Capital Days,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,34,,,34,,,17,,,19,,,29
ROCE %,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,6%,,,12%,,,30%,,,27%,,,13%
Debtor Days,GRSE,,,,,,,22,,,11,,,,37,,,,34,,,79,,,55,,,58,,,136,,,57,,,31,,,7,,,20
Inventory Days,GRSE,,,,,,,1568,,,1932,,,,334,,,,236,,,383,,,727,,,168,,,1590,,,606,,,458,,,662,,,646
Days Payable,GRSE,,,,,,,94,,,136,,,,202,,,,190,,,290,,,968,,,177,,,1922,,,592,,,159,,,266,,,161
Cash Conversion Cycle,GRSE,,,,,,,1495,,,1806,,,,170,,,,79,,,172,,,-186,,,48,,,-196,,,71,,,330,,,404,,,505
Working Capital Days,GRSE,,,,,,,-185,,,23,,,,-1124,,,,-388,,,-695,,,-468,,,-392,,,-533,,,-1012,,,-660,,,-513,,,-272
ROCE %,GRSE,,,,,,,24%,,,20%,,,,10%,,,,24%,,,3%,,,12%,,,18%,,,22%,,,21%,,,20%,,,20%,,,28%
Debtor Days,HAL,,,,,,,,,,,,,,144.0,,,,105,,,86,,,133,,,227,,,191,,,90,,,69,,,64,,,55
Inventory Days,HAL,,,,,,,,,,,,,,1104.0,,,,1016,,,879,,,870,,,881,,,815,,,602,,,607,,,527,,,544
Days Payable,HAL,,,,,,,,,,,,,,103.0,,,,91,,,64,,,72,,,113,,,163,,,75,,,96,,,116,,,116
Cash Conversion Cycle,HAL,,,,,,,,,,,,,,1145.0,,,,1030,,,900,,,931,,,995,,,843,,,617,,,580,,,475,,,484
Working Capital Days,HAL,,,,,,,,,,,,,,39.0,,,,-5,,,93,,,116,,,294,,,285,,,146,,,111,,,38,,,37
ROCE %,HAL,,,,,,,,,,,,,,,,,,23%,,,29%,,,27%,,,29%,,,24%,,,26%,,,30%,,,31%,,,39%
Debtor Days,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,60,,,58,,,56,,,54,,,57
Inventory Days,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,60,,,58,,,56,,,54,,,57
Working Capital Days,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.0,,,29,,,34,,,41,,,45,,,53
ROCE %,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43%,,,34%,,,32%,,,30%,,,22%
Debtor Days,HAVELLS,,,,,,,44,,,45,,,,27,,,,11,,,14,,,15,,,15,,,9,,,20,,,20,,,21,,,23
Inventory Days,HAVELLS,,,,,,,116,,,121,,,,103,,,,70,,,99,,,124,,,115,,,121,,,153,,,119,,,119,,,102
Days Payable,HAVELLS,,,,,,,82,,,98,,,,79,,,,42,,,66,,,125,,,94,,,92,,,93,,,95,,,85,,,81
Cash Conversion Cycle,HAVELLS,,,,,,,78,,,69,,,,51,,,,39,,,46,,,14,,,36,,,39,,,79,,,44,,,55,,,44
Working Capital Days,HAVELLS,,,,,,,31,,,16,,,,-3,,,,1,,,4,,,-17,,,-0,,,1,,,25,,,11,,,26,,,13
ROCE %,HAVELLS,,,,,,,26%,,,27%,,,,27%,,,,28%,,,25%,,,27%,,,29%,,,22%,,,30%,,,27%,,,22%,,,24%
Debtor Days,HCLTECH,,,,,,,,64,,,65,,,,65,,,91,,,64,,,70,,,71,,,73,,,85,,,88,,,92,,,85
Inventory Days,HCLTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,HCLTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,HCLTECH,,,,,,,,64,,,65,,,,65,,,91,,,64,,,70,,,71,,,73,,,85,,,88,,,92,,,85
Working Capital Days,HCLTECH,,,,,,,,15,,,10,,,,29,,,64,,,38,,,59,,,49,,,27,,,52,,,48,,,47,,,35
ROCE %,HCLTECH,,,,,,,,41%,,,45%,,,,40%,,,28%,,,34%,,,31%,,,31%,,,27%,,,26%,,,25%,,,28%,,,30%
Debtor Days,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,11
Inventory Days,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,11
Working Capital Days,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,,,-18
ROCE %,HDFCAMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38%
ROE %,HDFCBANK,,,,,,,21%,,,22%,,,,20%,,,,19%,,,18%,,,18%,,,17%,,,16%,,,16%,,,17%,,,17%,,,17%
Debtor Days,HDFCLIFE,,,,,,,0.0,,,0,,,,0,,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,,0
Inventory Days,HDFCLIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,HDFCLIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,HDFCLIFE,,,,,,,0.0,,,0,,,,0,,,,0,,,0,,,0,,,2,,,0,,,0,,,0,,,0,,,0
Working Capital Days,HDFCLIFE,,,,,,,-22.0,,,-11,,,,-11,,,,-27,,,-20,,,-25,,,-16,,,-17,,,-13,,,-11,,,-12,,,-8
ROCE %,HDFCLIFE,,,,,,,,,,49%,,,,41%,,,,36%,,,31%,,,31%,,,23%,,,24%,,,20%,,,12%,,,10%,,,7%
Debtor Days,HERITGFOOD,,,,,,,3,,,4,,,,4,,,,4,,,3,,,2,,,6,,,3,,,2,,,3,,,3,,,3
Inventory Days,HERITGFOOD,,,,,,,24,,,29,,,,31,,,,28,,,31,,,31,,,27,,,24,,,41,,,38,,,56,,,33
Days Payable,HERITGFOOD,,,,,,,17,,,19,,,,17,,,,16,,,15,,,13,,,13,,,10,,,7,,,9,,,11,,,18
Cash Conversion Cycle,HERITGFOOD,,,,,,,11,,,14,,,,18,,,,16,,,19,,,19,,,20,,,17,,,36,,,31,,,47,,,18
Working Capital Days,HERITGFOOD,,,,,,,-7,,,-2,,,,2,,,,-2,,,-5,,,-6,,,-4,,,-3,,,9,,,11,,,29,,,3
ROCE %,HERITGFOOD,,,,,,,35%,,,26%,,,,17%,,,,29%,,,64%,,,12%,,,14%,,,-14%,,,31%,,,21%,,,11%,,,16%
Debtor Days,HEROMOTOCO,,,,,,,,,,13.0,,,,18,,,,16,,,20,,,16,,,29,,,19,,,27,,,27,,,29,,,25
Inventory Days,HEROMOTOCO,,,,,,,,,,13.0,,,,16,,,,14,,,14,,,16,,,19,,,24,,,30,,,26,,,27,,,25
Days Payable,HEROMOTOCO,,,,,,,,,,46.0,,,,50,,,,51,,,62,,,56,,,54,,,58,,,88,,,76,,,73,,,80
Cash Conversion Cycle,HEROMOTOCO,,,,,,,,,,-19.0,,,,-16,,,,-20,,,-29,,,-24,,,-5,,,-15,,,-32,,,-23,,,-17,,,-30
Working Capital Days,HEROMOTOCO,,,,,,,,,,-33.0,,,,-14,,,,-11,,,-17,,,-14,,,8,,,-7,,,-17,,,-9,,,-4,,,-13
ROCE %,HEROMOTOCO,,,,,,,,,,,,,,50%,,,,54%,,,48%,,,45%,,,39%,,,27%,,,24%,,,18%,,,23%,,,29%
Debtor Days,HINDUNILVR,,,,,,,13,,,13,,,,12,,,,14,,,12,,,13,,,17,,,11,,,14,,,16,,,19,,,18
Inventory Days,HINDUNILVR,,,,,,,83,,,86,,,,77,,,,75,,,67,,,65,,,59,,,65,,,66,,,65,,,55,,,55
Days Payable,HINDUNILVR,,,,,,,164,,,170,,,,148,,,,156,,,164,,,185,,,166,,,176,,,163,,,145,,,123,,,143
Cash Conversion Cycle,HINDUNILVR,,,,,,,-67,,,-72,,,,-60,,,,-67,,,-85,,,-107,,,-90,,,-101,,,-83,,,-64,,,-50,,,-70
Working Capital Days,HINDUNILVR,,,,,,,-49,,,-54,,,,-52,,,,-24,,,-32,,,-37,,,-29,,,-31,,,-29,,,-20,,,-13,,,-19
ROCE %,HINDUNILVR,,,,,,,130%,,,147%,,,,139%,,,,112%,,,91%,,,103%,,,116%,,,117%,,,38%,,,24%,,,27%,,,27%
Debtor Days,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,38,,,52,,,83,,,95,,,89
Inventory Days,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,,,264,,,228,,,307,,,227,,,259
Days Payable,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,,,130,,,111,,,150,,,97,,,92
Cash Conversion Cycle,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,172,,,168,,,240,,,225,,,256
Working Capital Days,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,42,,,62,,,104,,,116,,,116
ROCE %,HLEGLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,,,45%,,,31%,,,24%,,,13%
Debtor Days,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,18,,,13,,,13,,,15,,,23
Inventory Days,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,74,,,58,,,56,,,68,,,79
Days Payable,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,94,,,74,,,64,,,69,,,68
Cash Conversion Cycle,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,-2,,,-3,,,5,,,14,,,34
Working Capital Days,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,11,,,13,,,17,,,21,,,43
ROCE %,HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,,,17%,,,16%,,,18%,,,15%
ROE %,ICICIBANK,,,,,,,15%,,,15%,,,,15%,,,,11%,,,10%,,,7%,,,4%,,,8%,,,13%,,,15%,,,17%,,,19%
Debtor Days,ICICIGI,,,,,,,0,,,0,,,,0,,,,0,,,0,,,0,,,292,,,0,,,0,,,0,,,0,,,0
Inventory Days,ICICIGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
