Balance Sheet,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Other Assets,CYIENT,,,,,,,1150.0,,,1514.0,,,,1674.0,,,,1886.0,,,2153.0,,,2409.0,,,2723.0,,,2650.0,,,2992.0,,,2959.0,,,3113.0,,,3609.0,
Total Assets,CYIENT,,,,,,,1606.0,,,1950.0,,,,2574.0,,,,2713.0,,,3126.0,,,3400.0,,,3860.0,,,4142.0,,,4475.0,,,4762.0,,,6500.0,,,6928.0,
Equity Capital,DABUR,,,,,,,174.0,,,174.0,,,,176.0,,,,176.0,,,176.0,,,176.0,,,177.0,,,177.0,,,177.0,,,177.0,,,177.0,,,177.0,
Reserves,DABUR,,,,,,,1921.0,,,2482.0,,,,3178.0,,,,3995.0,,,4671.0,,,5530.0,,,5455.0,,,6429.0,,,7487.0,,,8205.0,,,8796.0,,,9689.0,
Borrowings,DABUR,,,,,,,1151.0,,,708.0,,,,734.0,,,,805.0,,,975.0,,,938.0,,,699.0,,,522.0,,,509.0,,,1030.0,,,1174.0,,,1365.0,
Other Liabilities,DABUR,,,,,,,1462.0,,,1948.0,,,,2019.0,,,,1956.0,,,1910.0,,,2058.0,,,2106.0,,,2209.0,,,2661.0,,,2872.0,,,3505.0,,,3885.0,
Total Liabilities,DABUR,,,,,,,4709.0,,,5312.0,,,,6106.0,,,,6932.0,,,7732.0,,,8702.0,,,8437.0,,,9337.0,,,10833.0,,,12284.0,,,13652.0,,,15116.0,
Fixed Assets,DABUR,,,,,,,1582.0,,,1767.0,,,,1877.0,,,,1667.0,,,1958.0,,,2028.0,,,1969.0,,,2253.0,,,2243.0,,,2308.0,,,3579.0,,,3815.0,
CWIP,DABUR,,,,,,,93.0,,,22.0,,,,50.0,,,,45.0,,,42.0,,,42.0,,,64.0,,,147.0,,,147.0,,,168.0,,,175.0,,,232.0,
Investments,DABUR,,,,,,,929.0,,,1076.0,,,,1813.0,,,,2691.0,,,3240.0,,,3805.0,,,3359.0,,,2800.0,,,4160.0,,,6220.0,,,6265.0,,,6933.0,
Other Assets,DABUR,,,,,,,2105.0,,,2447.0,,,,2365.0,,,,2529.0,,,2492.0,,,2827.0,,,3045.0,,,4137.0,,,4283.0,,,3589.0,,,3633.0,,,4136.0,
Total Assets,DABUR,,,,,,,4709.0,,,5312.0,,,,6106.0,,,,6932.0,,,7732.0,,,8702.0,,,8437.0,,,9337.0,,,10833.0,,,12284.0,,,13652.0,,,15116.0,
Equity Capital,DEEPAKNTR,,,,,,,,,,,,,,21.0,,,,23.0,,,26.0,,,27.0,,,27.0,,,27.0,,,27.0,,,27.0,,,27.0,,,27.0,
Reserves,DEEPAKNTR,,,,,,,,,,,,,,325.0,,,,450.0,,,689.0,,,895.0,,,1044.0,,,1545.0,,,2319.0,,,3311.0,,,4063.0,,,4769.0,
Borrowings,DEEPAKNTR,,,,,,,,,,,,,,545.0,,,,529.0,,,724.0,,,987.0,,,1187.0,,,1107.0,,,590.0,,,315.0,,,73.0,,,286.0,
Other Liabilities,DEEPAKNTR,,,,,,,,,,,,,,235.0,,,,295.0,,,350.0,,,684.0,,,677.0,,,538.0,,,630.0,,,779.0,,,967.0,,,1012.0,
Total Liabilities,DEEPAKNTR,,,,,,,,,,,,,,1125.0,,,,1296.0,,,1789.0,,,2592.0,,,2935.0,,,3217.0,,,3567.0,,,4432.0,,,5129.0,,,6095.0,
Fixed Assets,DEEPAKNTR,,,,,,,,,,,,,,549.0,,,,594.0,,,586.0,,,588.0,,,1716.0,,,1832.0,,,1864.0,,,1963.0,,,1942.0,,,2293.0,
CWIP,DEEPAKNTR,,,,,,,,,,,,,,44.0,,,,36.0,,,349.0,,,955.0,,,34.0,,,172.0,,,220.0,,,122.0,,,301.0,,,774.0,
Investments,DEEPAKNTR,,,,,,,,,,,,,,3.0,,,,87.0,,,118.0,,,32.0,,,2.0,,,2.0,,,189.0,,,439.0,,,379.0,,,122.0,
Other Assets,DEEPAKNTR,,,,,,,,,,,,,,530.0,,,,580.0,,,736.0,,,1018.0,,,1183.0,,,1210.0,,,1293.0,,,1908.0,,,2508.0,,,2907.0,
Total Assets,DEEPAKNTR,,,,,,,,,,,,,,1125.0,,,,1296.0,,,1789.0,,,2592.0,,,2935.0,,,3217.0,,,3567.0,,,4432.0,,,5129.0,,,6095.0,
Equity Capital,DIVISLAB,,,,,,,27.0,,,27.0,,,,27.0,,,,53.0,,,53.0,,,53.0,,,53.0,,,53.0,,,53.0,,,53.0,,,53.0,,,53.0,
Reserves,DIVISLAB,,,,,,,2474.0,,,2937.0,,,,3469.0,,,,4240.0,,,5304.0,,,5872.0,,,6904.0,,,7257.0,,,9242.0,,,11675.0,,,12714.0,,,13518.0,
Borrowings,DIVISLAB,,,,,,,33.0,,,18.0,,,,27.0,,,,42.0,,,36.0,,,63.0,,,106.0,,,39.0,,,5.0,,,4.0,,,4.0,,,3.0,
Other Liabilities,DIVISLAB,,,,,,,605.0,,,729.0,,,,883.0,,,,562.0,,,762.0,,,797.0,,,973.0,,,1183.0,,,1471.0,,,1628.0,,,1654.0,,,1886.0,
Total Liabilities,DIVISLAB,,,,,,,3139.0,,,3710.0,,,,4405.0,,,,4898.0,,,6155.0,,,6785.0,,,8036.0,,,8531.0,,,10771.0,,,13360.0,,,14425.0,,,15460.0,
Fixed Assets,DIVISLAB,,,,,,,909.0,,,1222.0,,,,1309.0,,,,1439.0,,,1559.0,,,1996.0,,,2088.0,,,2782.0,,,3704.0,,,4325.0,,,4722.0,,,4739.0,
CWIP,DIVISLAB,,,,,,,303.0,,,144.0,,,,218.0,,,,264.0,,,444.0,,,120.0,,,492.0,,,920.0,,,711.0,,,470.0,,,212.0,,,778.0,
Investments,DIVISLAB,,,,,,,408.0,,,502.0,,,,733.0,,,,803.0,,,1631.0,,,1889.0,,,1946.0,,,971.0,,,0.0,,,72.0,,,77.0,,,82.0,
Other Assets,DIVISLAB,,,,,,,1519.0,,,1842.0,,,,2145.0,,,,2392.0,,,2521.0,,,2780.0,,,3511.0,,,3858.0,,,6356.0,,,8493.0,,,9414.0,,,9861.0,
Total Assets,DIVISLAB,,,,,,,3139.0,,,3710.0,,,,4405.0,,,,4898.0,,,6155.0,,,6785.0,,,8036.0,,,8531.0,,,10771.0,,,13360.0,,,14425.0,,,15460.0,
Equity Capital,DIXON,,,,,,,3.0,,,3.0,,,,3.0,,,,3.0,,,11.0,,,11.0,,,11.0,,,12.0,,,12.0,,,12.0,,,12.0,,,12.0,
Reserves,DIXON,,,,,,,58.0,,,71.0,,,,82.0,,,,120.0,,,186.0,,,304.0,,,367.0,,,530.0,,,726.0,,,985.0,,,1273.0,,,1683.0,
Borrowings,DIXON,,,,,,,94.0,,,94.0,,,,82.0,,,,80.0,,,43.0,,,45.0,,,141.0,,,87.0,,,295.0,,,667.0,,,453.0,,,489.0,
Other Liabilities,DIXON,,,,,,,121.0,,,124.0,,,,157.0,,,,215.0,,,549.0,,,606.0,,,971.0,,,1069.0,,,1814.0,,,2613.0,,,2941.0,,,4808.0,
Total Liabilities,DIXON,,,,,,,277.0,,,291.0,,,,324.0,,,,417.0,,,789.0,,,966.0,,,1491.0,,,1697.0,,,2846.0,,,4277.0,,,4679.0,,,6991.0,
Fixed Assets,DIXON,,,,,,,80.0,,,84.0,,,,97.0,,,,124.0,,,137.0,,,179.0,,,241.0,,,414.0,,,550.0,,,1003.0,,,1244.0,,,2000.0,
CWIP,DIXON,,,,,,,5.0,,,0.0,,,,0.0,,,,0.0,,,2.0,,,16.0,,,19.0,,,10.0,,,72.0,,,22.0,,,120.0,,,64.0,
Investments,DIXON,,,,,,,7.0,,,6.0,,,,6.0,,,,0.0,,,0.0,,,11.0,,,8.0,,,0.0,,,95.0,,,141.0,,,44.0,,,20.0,
Other Assets,DIXON,,,,,,,185.0,,,201.0,,,,221.0,,,,294.0,,,650.0,,,759.0,,,1224.0,,,1273.0,,,2128.0,,,3111.0,,,3272.0,,,4907.0,
Total Assets,DIXON,,,,,,,277.0,,,291.0,,,,324.0,,,,417.0,,,789.0,,,966.0,,,1491.0,,,1697.0,,,2846.0,,,4277.0,,,4679.0,,,6991.0,
Equity Capital,DMART,,,,,,,544.0,,,547.0,,,,562.0,,,,562.0,,,624.0,,,624.0,,,624.0,,,648.0,,,648.0,,,648.0,,,648.0,,,651.0,
Reserves,DMART,,,,,,,245.0,,,409.0,,,,638.0,,,,959.0,,,3218.0,,,4045.0,,,4963.0,,,10432.0,,,11536.0,,,13030.0,,,15430.0,,,18047.0,
Borrowings,DMART,,,,,,,526.0,,,641.0,,,,904.0,,,,1192.0,,,1497.0,,,439.0,,,700.0,,,333.0,,,393.0,,,647.0,,,643.0,,,592.0,
Other Liabilities,DMART,,,,,,,176.0,,,211.0,,,,251.0,,,,389.0,,,480.0,,,540.0,,,718.0,,,663.0,,,1079.0,,,1146.0,,,1383.0,,,1882.0,
Total Liabilities,DMART,,,,,,,1492.0,,,1808.0,,,,2355.0,,,,3102.0,,,5819.0,,,5648.0,,,7006.0,,,12076.0,,,13655.0,,,15471.0,,,18105.0,,,21172.0,
Fixed Assets,DMART,,,,,,,925.0,,,1172.0,,,,1528.0,,,,2094.0,,,2578.0,,,3400.0,,,4400.0,,,5948.0,,,7009.0,,,9260.0,,,11340.0,,,13415.0,
CWIP,DMART,,,,,,,118.0,,,89.0,,,,98.0,,,,82.0,,,153.0,,,147.0,,,377.0,,,364.0,,,1020.0,,,1129.0,,,829.0,,,935.0,
Investments,DMART,,,,,,,16.0,,,16.0,,,,15.0,,,,29.0,,,26.0,,,68.0,,,17.0,,,15.0,,,3.0,,,6.0,,,202.0,,,107.0,
Other Assets,DMART,,,,,,,433.0,,,532.0,,,,713.0,,,,897.0,,,3063.0,,,2033.0,,,2212.0,,,5749.0,,,5624.0,,,5076.0,,,5733.0,,,6716.0,
Total Assets,DMART,,,,,,,1492.0,,,1808.0,,,,2355.0,,,,3102.0,,,5819.0,,,5648.0,,,7006.0,,,12076.0,,,13655.0,,,15471.0,,,18105.0,,,21172.0,
Equity Capital,DRREDDY,,,,,,,85.0,,,85.0,,,,85.0,,,,85.0,,,83.0,,,83.0,,,83.0,,,83.0,,,83.0,,,83.0,,,83.0,,,83.0,
Reserves,DRREDDY,,,,,,,6284.0,,,7780.0,,,,9768.0,,,,12484.0,,,12179.0,,,12489.0,,,13941.0,,,15516.0,,,17558.0,,,19129.0,,,23203.0,,,28171.0,
Borrowings,DRREDDY,,,,,,,3682.0,,,4477.0,,,,4314.0,,,,3352.0,,,4918.0,,,5071.0,,,3838.0,,,2210.0,,,3031.0,,,3384.0,,,1347.0,,,2002.0,
Other Liabilities,DRREDDY,,,,,,,3329.0,,,3563.0,,,,4290.0,,,,4408.0,,,4474.0,,,4706.0,,,4557.0,,,5414.0,,,5915.0,,,7149.0,,,7576.0,,,8523.0,
Total Liabilities,DRREDDY,,,,,,,13380.0,,,15906.0,,,,18457.0,,,,20330.0,,,21654.0,,,22349.0,,,22418.0,,,23223.0,,,26588.0,,,29746.0,,,32209.0,,,38780.0,
Fixed Assets,DRREDDY,,,,,,,4051.0,,,4641.0,,,,5377.0,,,,6563.0,,,6931.0,,,6968.0,,,7191.0,,,6850.0,,,8206.0,,,8122.0,,,9219.0,,,10426.0,
CWIP,DRREDDY,,,,,,,565.0,,,639.0,,,,529.0,,,,772.0,,,3324.0,,,3470.0,,,2934.0,,,1535.0,,,1565.0,,,1293.0,,,1030.0,,,1419.0,
Investments,DRREDDY,,,,,,,197.0,,,1067.0,,,,2248.0,,,,3833.0,,,2110.0,,,2298.0,,,2587.0,,,2678.0,,,2212.0,,,2616.0,,,4986.0,,,4930.0,
Other Assets,DRREDDY,,,,,,,8567.0,,,9559.0,,,,10303.0,,,,9162.0,,,9290.0,,,9612.0,,,9707.0,,,12160.0,,,14605.0,,,17715.0,,,16974.0,,,22004.0,
Total Assets,DRREDDY,,,,,,,13380.0,,,15906.0,,,,18457.0,,,,20330.0,,,21654.0,,,22349.0,,,22418.0,,,23223.0,,,26588.0,,,29746.0,,,32209.0,,,38780.0,
Equity Capital,EICHERMOT,,,,,,27.0,,,27.0,,,,27.0,,,,,27.0,,,27.0,,,27.0,,,27.0,,,27.0,,,27.0,,,27.0,,,27.0,,,27.0,
Reserves,EICHERMOT,,,,,,1728.0,,,2028.0,,,,2489.0,,,,,3626.0,,,5318.0,,,7003.0,,,8891.0,,,9954.0,,,11411.0,,,12581.0,,,14963.0,,,18018.0,
Borrowings,EICHERMOT,,,,,,23.0,,,84.0,,,,58.0,,,,,23.0,,,112.0,,,151.0,,,187.0,,,249.0,,,219.0,,,108.0,,,288.0,,,419.0,
Other Liabilities,EICHERMOT,,,,,,2694.0,,,3197.0,,,,3829.0,,,,,1263.0,,,1552.0,,,2341.0,,,2281.0,,,2220.0,,,2901.0,,,3424.0,,,3919.0,,,4650.0,
Total Liabilities,EICHERMOT,,,,,,4471.0,,,5337.0,,,,6403.0,,,,,4939.0,,,7009.0,,,9522.0,,,11387.0,,,12450.0,,,14559.0,,,16140.0,,,19198.0,,,23115.0,
Fixed Assets,EICHERMOT,,,,,,992.0,,,1656.0,,,,2309.0,,,,,790.0,,,873.0,,,1502.0,,,1875.0,,,2378.0,,,2433.0,,,2424.0,,,2690.0,,,2914.0,
CWIP,EICHERMOT,,,,,,504.0,,,464.0,,,,419.0,,,,,94.0,,,374.0,,,333.0,,,450.0,,,312.0,,,314.0,,,505.0,,,472.0,,,555.0,
Investments,EICHERMOT,,,,,,638.0,,,825.0,,,,1078.0,,,,,3388.0,,,4987.0,,,5581.0,,,4923.0,,,5749.0,,,3902.0,,,7721.0,,,12321.0,,,13527.0,
Other Assets,EICHERMOT,,,,,,2337.0,,,2391.0,,,,2597.0,,,,,667.0,,,775.0,,,2106.0,,,4140.0,,,4011.0,,,7909.0,,,5490.0,,,3715.0,,,6119.0,
Total Assets,EICHERMOT,,,,,,4471.0,,,5337.0,,,,6403.0,,,,,4939.0,,,7009.0,,,9522.0,,,11387.0,,,12450.0,,,14559.0,,,16140.0,,,19198.0,,,23115.0,
Equity Capital,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,18.0,,,18.0,,,19.0,,,23.0,,,24.0,
Reserves,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,132.0,,,139.0,,,213.0,,,608.0,,,859.0,
Borrowings,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,174.0,,,140.0,,,161.0,,,121.0,,,145.0,
Other Liabilities,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,98.0,,,96.0,,,111.0,,,127.0,,,142.0,
Total Liabilities,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,,,422.0,,,394.0,,,504.0,,,880.0,,,1171.0,
Fixed Assets,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,125.0,,,113.0,,,130.0,,,197.0,,,231.0,
CWIP,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,4.0,,,0.0,,,4.0,,,7.0,
Investments,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,1.0,,,2.0,,,2.0,,,25.0,
Other Assets,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,,,296.0,,,276.0,,,373.0,,,677.0,,,907.0,
Total Assets,ETHOSLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,,,422.0,,,394.0,,,504.0,,,880.0,,,1171.0,
Equity Capital,EXIDEIND,,,,,,,85.0,,,85.0,,,,85.0,,,,85.0,,,85.0,,,85.0,,,85.0,,,85.0,,,85.0,,,85.0,,,85.0,,,85.0,
Reserves,EXIDEIND,,,,,,,2995.0,,,3375.0,,,,3756.0,,,,4305.0,,,4947.0,,,5344.0,,,6022.0,,,6382.0,,,7187.0,,,10499.0,,,11047.0,,,12801.0,
Borrowings,EXIDEIND,,,,,,,51.0,,,35.0,,,,58.0,,,,115.0,,,187.0,,,60.0,,,89.0,,,196.0,,,509.0,,,520.0,,,588.0,,,1123.0,
Other Liabilities,EXIDEIND,,,,,,,8178.0,,,8999.0,,,,9989.0,,,,10866.0,,,12546.0,,,14326.0,,,16235.0,,,17688.0,,,20625.0,,,2799.0,,,3037.0,,,4140.0,
Total Liabilities,EXIDEIND,,,,,,,11309.0,,,12494.0,,,,13887.0,,,,15370.0,,,17765.0,,,19815.0,,,22431.0,,,24351.0,,,28406.0,,,13902.0,,,14758.0,,,18149.0,
Fixed Assets,EXIDEIND,,,,,,,1677.0,,,1686.0,,,,1781.0,,,,1975.0,,,2259.0,,,2681.0,,,3080.0,,,3248.0,,,3599.0,,,3361.0,,,3682.0,,,3853.0,
CWIP,EXIDEIND,,,,,,,61.0,,,63.0,,,,115.0,,,,192.0,,,149.0,,,241.0,,,300.0,,,405.0,,,431.0,,,341.0,,,525.0,,,1352.0,
Investments,EXIDEIND,,,,,,,6787.0,,,7890.0,,,,8817.0,,,,10446.0,,,11884.0,,,12490.0,,,14328.0,,,15816.0,,,18807.0,,,5558.0,,,5106.0,,,5940.0,
Other Assets,EXIDEIND,,,,,,,2784.0,,,2855.0,,,,3175.0,,,,2757.0,,,3474.0,,,4402.0,,,4723.0,,,4883.0,,,5570.0,,,4642.0,,,5444.0,,,7004.0,
Total Assets,EXIDEIND,,,,,,,11309.0,,,12494.0,,,,13887.0,,,,15370.0,,,17765.0,,,19815.0,,,22431.0,,,24351.0,,,28406.0,,,13902.0,,,14758.0,,,18149.0,
Equity Capital,FINEORG,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,15.0,,,15.0,,,15.0,,,15.0,,,15.0,,,15.0,,,15.0,
Reserves,FINEORG,,,,,,,,,,,,,,,,,,249.0,,,323.0,,,380.0,,,485.0,,,604.0,,,716.0,,,944.0,,,1526.0,,,1906.0,
Borrowings,FINEORG,,,,,,,,,,,,,,,,,,102.0,,,40.0,,,54.0,,,128.0,,,125.0,,,89.0,,,59.0,,,29.0,,,4.0,
Other Liabilities,FINEORG,,,,,,,,,,,,,,,,,,63.0,,,76.0,,,81.0,,,74.0,,,108.0,,,127.0,,,219.0,,,237.0,,,182.0,
Total Liabilities,FINEORG,,,,,,,,,,,,,,,,,,419.0,,,445.0,,,530.0,,,702.0,,,852.0,,,948.0,,,1236.0,,,1807.0,,,2108.0,
Fixed Assets,FINEORG,,,,,,,,,,,,,,,,,,125.0,,,97.0,,,88.0,,,78.0,,,217.0,,,196.0,,,229.0,,,214.0,,,233.0,
CWIP,FINEORG,,,,,,,,,,,,,,,,,,6.0,,,3.0,,,32.0,,,106.0,,,6.0,,,26.0,,,14.0,,,40.0,,,30.0,
Investments,FINEORG,,,,,,,,,,,,,,,,,,0.0,,,11.0,,,11.0,,,10.0,,,33.0,,,31.0,,,31.0,,,39.0,,,36.0,
Other Assets,FINEORG,,,,,,,,,,,,,,,,,,289.0,,,334.0,,,399.0,,,508.0,,,597.0,,,694.0,,,962.0,,,1513.0,,,1809.0,
Total Assets,FINEORG,,,,,,,,,,,,,,,,,,419.0,,,445.0,,,530.0,,,702.0,,,852.0,,,948.0,,,1236.0,,,1807.0,,,2108.0,
Equity Capital,GMMPFAUDLR,,,,,,,3.0,,,3.0,,,,3.0,,,,3.0,,,3.0,,,3.0,,,3.0,,,3.0,,,3.0,,,3.0,,,9.0,,,9.0,
Reserves,GMMPFAUDLR,,,,,,,116.0,,,136.0,,,,148.0,,,,164.0,,,191.0,,,225.0,,,266.0,,,326.0,,,403.0,,,524.0,,,792.0,,,959.0,
Borrowings,GMMPFAUDLR,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,34.0,,,633.0,,,636.0,,,973.0,,,906.0,
Other Liabilities,GMMPFAUDLR,,,,,,,77.0,,,96.0,,,,84.0,,,,89.0,,,125.0,,,161.0,,,165.0,,,166.0,,,1342.0,,,1554.0,,,1582.0,,,1271.0,
Total Liabilities,GMMPFAUDLR,,,,,,,196.0,,,235.0,,,,234.0,,,,256.0,,,318.0,,,389.0,,,434.0,,,530.0,,,2381.0,,,2717.0,,,3355.0,,,3144.0,
Fixed Assets,GMMPFAUDLR,,,,,,,55.0,,,53.0,,,,46.0,,,,53.0,,,61.0,,,71.0,,,78.0,,,134.0,,,1043.0,,,1002.0,,,1224.0,,,1233.0,
CWIP,GMMPFAUDLR,,,,,,,1.0,,,2.0,,,,5.0,,,,4.0,,,2.0,,,7.0,,,5.0,,,2.0,,,4.0,,,13.0,,,13.0,,,27.0,
Investments,GMMPFAUDLR,,,,,,,11.0,,,12.0,,,,12.0,,,,14.0,,,46.0,,,51.0,,,48.0,,,36.0,,,1.0,,,0.0,,,0.0,,,0.0,
Other Assets,GMMPFAUDLR,,,,,,,129.0,,,169.0,,,,171.0,,,,184.0,,,209.0,,,260.0,,,303.0,,,358.0,,,1332.0,,,1703.0,,,2118.0,,,1884.0,
Total Assets,GMMPFAUDLR,,,,,,,196.0,,,235.0,,,,234.0,,,,256.0,,,318.0,,,389.0,,,434.0,,,530.0,,,2381.0,,,2717.0,,,3355.0,,,3144.0,
Equity Capital,GODREJPROP,,,,,,,78.0,,,99.0,,,,100.0,,,,108.0,,,108.0,,,108.0,,,115.0,,,126.0,,,139.0,,,139.0,,,139.0,,,139.0,
Reserves,GODREJPROP,,,,,,,1351.0,,,1694.0,,,,1747.0,,,,1657.0,,,1896.0,,,1102.0,,,2354.0,,,4682.0,,,8181.0,,,8536.0,,,9125.0,,,9853.0,
Borrowings,GODREJPROP,,,,,,,1678.0,,,2574.0,,,,3486.0,,,,3123.0,,,3980.0,,,3703.0,,,3516.0,,,3715.0,,,4593.0,,,5196.0,,,6431.0,,,10679.0,
Other Liabilities,GODREJPROP,,,,,,,1572.0,,,1779.0,,,,2030.0,,,,1691.0,,,1197.0,,,3358.0,,,2107.0,,,1567.0,,,3333.0,,,3932.0,,,7410.0,,,15063.0,
Total Liabilities,GODREJPROP,,,,,,,4679.0,,,6147.0,,,,7363.0,,,,6578.0,,,7181.0,,,8271.0,,,8092.0,,,10090.0,,,16245.0,,,17804.0,,,23105.0,,,35735.0,
Fixed Assets,GODREJPROP,,,,,,,51.0,,,64.0,,,,117.0,,,,107.0,,,102.0,,,113.0,,,97.0,,,113.0,,,174.0,,,183.0,,,218.0,,,997.0,
CWIP,GODREJPROP,,,,,,,36.0,,,62.0,,,,73.0,,,,1.0,,,0.0,,,71.0,,,100.0,,,163.0,,,229.0,,,340.0,,,653.0,,,250.0,
Investments,GODREJPROP,,,,,,,0.0,,,0.0,,,,0.0,,,,664.0,,,760.0,,,1454.0,,,2637.0,,,3571.0,,,5243.0,,,4883.0,,,2534.0,,,3150.0,
Other Assets,GODREJPROP,,,,,,,4593.0,,,6021.0,,,,7173.0,,,,5807.0,,,6319.0,,,6633.0,,,5259.0,,,6243.0,,,10599.0,,,12397.0,,,19700.0,,,31337.0,
Total Assets,GODREJPROP,,,,,,,4679.0,,,6147.0,,,,7363.0,,,,6578.0,,,7181.0,,,8271.0,,,8092.0,,,10090.0,,,16245.0,,,17804.0,,,23105.0,,,35735.0,
Equity Capital,GREENLAM,,,,,,,,,,0.0,,,,12.0,,,,12.0,,,12.0,,,12.0,,,12.0,,,12.0,,,12.0,,,12.0,,,13.0,,,13.0,
Reserves,GREENLAM,,,,,,,,,,0.0,,,,208.0,,,,233.0,,,286.0,,,344.0,,,416.0,,,489.0,,,561.0,,,642.0,,,945.0,,,1064.0,
Borrowings,GREENLAM,,,,,,,,,,0.0,,,,393.0,,,,365.0,,,298.0,,,252.0,,,270.0,,,294.0,,,307.0,,,398.0,,,628.0,,,1109.0,
Other Liabilities,GREENLAM,,,,,,,,,,0.0,,,,230.0,,,,260.0,,,194.0,,,216.0,,,229.0,,,309.0,,,291.0,,,324.0,,,449.0,,,539.0,
Total Liabilities,GREENLAM,,,,,,,,,,0.0,,,,842.0,,,,871.0,,,791.0,,,823.0,,,927.0,,,1104.0,,,1172.0,,,1376.0,,,2035.0,,,2726.0,
Fixed Assets,GREENLAM,,,,,,,,,,0.0,,,,328.0,,,,353.0,,,324.0,,,331.0,,,330.0,,,429.0,,,413.0,,,468.0,,,506.0,,,986.0,
CWIP,GREENLAM,,,,,,,,,,0.0,,,,9.0,,,,4.0,,,5.0,,,1.0,,,22.0,,,17.0,,,18.0,,,9.0,,,380.0,,,611.0,
Investments,GREENLAM,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,106.0,,,161.0,,,242.0,,,147.0,
Other Assets,GREENLAM,,,,,,,,,,0.0,,,,505.0,,,,514.0,,,462.0,,,492.0,,,575.0,,,658.0,,,634.0,,,739.0,,,907.0,,,981.0,
Total Assets,GREENLAM,,,,,,,,,,0.0,,,,842.0,,,,871.0,,,791.0,,,823.0,,,927.0,,,1104.0,,,1172.0,,,1376.0,,,2035.0,,,2726.0,
Equity Capital,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,12.0,,,12.0,,,12.0,,,12.0,,,12.0,
Reserves,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,633.0,,,649.0,,,718.0,,,939.0,,,1182.0,,,1305.0,
Borrowings,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,587.0,,,561.0,,,484.0,,,316.0,,,228.0,,,296.0,
Other Liabilities,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,238.0,,,243.0,,,241.0,,,275.0,,,283.0,,,278.0,
Total Liabilities,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1458.0,,,1466.0,,,1455.0,,,1542.0,,,1705.0,,,1891.0,
Fixed Assets,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1138.0,,,1111.0,,,1074.0,,,1038.0,,,992.0,,,982.0,
CWIP,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,4.0,,,6.0,,,4.0,,,0.0,,,5.0,,,313.0,
Investments,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,98.0,
Other Assets,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,317.0,,,349.0,,,377.0,,,504.0,,,708.0,,,498.0,
Total Assets,GREENPANEL,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1458.0,,,1466.0,,,1455.0,,,1542.0,,,1705.0,,,1891.0,
Equity Capital,GRSE,,,,,,,124.0,,,124.0,,,,124.0,,,,124.0,,,124.0,,,115.0,,,115.0,,,115.0,,,115.0,,,115.0,,,115.0,,,115.0,
Reserves,GRSE,,,,,,,743.0,,,831.0,,,,883.0,,,,1013.0,,,959.0,,,907.0,,,924.0,,,926.0,,,1023.0,,,1143.0,,,1299.0,,,1559.0,
Borrowings,GRSE,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,25.0,,,0.0,,,0.0,,,0.0,,,4.0,,,11.0,,,312.0,,,66.0,
